frame_name,n_vertices,n_triangles,t_feat_s,t_infer_cpu_s,t_infer_gpu_s,t_nn8_total_cpu_s,t_nn8_total_gpu_s,t_bem_assemble_s,t_bem_solve_s,t_bem_total_s
bub_0001.obj,492,980,0.02711500000441447,0.0002551150001818314,0.00041893200017511844,0.0273701150045963,0.027533932004589586,0.6457590999780223,0.011489399999845773,0.657248499977868
bub_0002.obj,492,980,0.007397400040645152,0.00024361399991903454,0.00042050399992149323,0.007641014040564187,0.007817904040566646,0.6821326999925077,0.012195300019811839,0.6943280000123195
bub_0003.obj,492,980,0.007124699943233281,0.00018203699961304664,0.00029377900005783886,0.007306736942846328,0.007418478943291121,0.6831545999739319,0.012722000014036894,0.6958765999879688
bub_0004.obj,492,980,0.007564300030935556,0.0002776570001151413,0.0002953890000935644,0.007841957031050697,0.00785968903102912,0.652816999994684,0.012049200013279915,0.6648662000079639
bub_0005.obj,492,980,0.007305300037842244,0.00012730499962344767,0.0002969309996115044,0.007432605037465691,0.0076022310374537485,0.6883097999962047,0.011928099964279681,0.7002378999604844
bub_0006.obj,492,980,0.007236799981910735,0.0002618049999000505,0.0003581940004369244,0.007498604981810786,0.007594993982347659,0.6913494999753311,0.011073899979237467,0.7024233999545686
bub_0007.obj,492,980,0.007304499973542988,0.00013092299981508403,0.00029858499998226763,0.007435422973358073,0.007603084973525256,0.6870010000420734,0.011423799965996295,0.6984248000080697
bub_0008.obj,492,980,0.007224700006190687,0.00014746700006071478,0.00029878999979700895,0.007372167006251402,0.007523490005987696,0.6877816999913193,0.011750300007406622,0.699531999998726
bub_0009.obj,492,980,0.0072678999858908355,0.00014334900013636797,0.0003618409996852279,0.007411248986027203,0.007629740985576064,0.6885213000350632,0.011470199970062822,0.699991500005126
bub_0010.obj,492,980,0.00744199997279793,0.00013560599996708333,0.0003637299995170906,0.007577605972765014,0.007805729972315021,0.6899034000234678,0.010221200005616993,0.7001246000290848
bub_0011.obj,492,980,0.007312299974728376,0.000134101000148803,0.0002970150002511218,0.007446400974877179,0.007609314974979497,0.6809181999997236,0.01143950002733618,0.6923577000270598
bub_0012.obj,492,980,0.00721239997074008,0.00014717600017320366,0.00029795599984936414,0.007359575970913284,0.007510355970589444,0.6911198999732733,0.011803800007328391,0.7029236999806017
bub_0013.obj,492,980,0.007407400000374764,0.00013590500049758702,0.0002964660001453012,0.007543305000872351,0.007703866000520065,0.694357400003355,0.011139899957925081,0.7054972999612801
bub_0014.obj,492,980,0.007229599985294044,0.00012592900020536035,0.00029694899974856524,0.007355528985499404,0.007526548985042609,0.6761586000211537,0.011506199953146279,0.6876647999743
bub_0015.obj,492,980,0.007562099955976009,0.00031328799959737805,0.000509641999960877,0.007875387955573387,0.008071741955936886,0.6968197000096552,0.011311299982480705,0.7081309999921359
bub_0016.obj,492,980,0.007448400021530688,0.0002652519999537617,0.0003477520000888035,0.007713652021484449,0.0077961520216194916,0.7189106000005268,0.010924400005023926,0.7298350000055507
bub_0017.obj,492,980,0.007345999998506159,0.00014692700002342463,0.0003027669998118654,0.007492926998529583,0.007648766998318024,0.6976006000186317,0.011211099976208061,0.7088116999948397
bub_0018.obj,492,980,0.007274499977938831,0.00010611500008963049,0.00029530700005125254,0.007380614978028461,0.007569806977990083,0.6783517000149004,0.01138169999467209,0.6897334000095725
bub_0019.obj,492,980,0.00712789996759966,0.00013833199976943434,0.0002987190004205331,0.007266231967369094,0.007426618968020193,0.6873410000116564,0.011261400009971112,0.6986024000216275
bub_0020.obj,492,980,0.007137100037652999,0.00012694699980784208,0.0002935470000375062,0.007264047037460841,0.0074306470376905055,0.6880931999767199,0.010481700010132045,0.698574899986852
bub_0021.obj,492,980,0.007204400026239455,0.00012957200000528245,0.0002923030004603788,0.0073339720262447375,0.007496703026699834,0.6840758000034839,0.011532200034707785,0.6956080000381917
bub_0022.obj,492,980,0.007618099974934012,0.0001512989995535463,0.0002987660001963377,0.007769398974487558,0.00791686597513035,0.7149426999967545,0.011688099999446422,0.726630799996201
bub_0023.obj,492,980,0.007052200031466782,0.0002342290000524372,0.0002926609996939078,0.007286429031519219,0.00734486103116069,0.6866712999762967,0.011335899995174259,0.698007199971471
bub_0024.obj,492,980,0.007292900001630187,0.00014948700030799954,0.00029437199991662056,0.0074423870019381866,0.007587272001546808,0.7176454999716952,0.011409700033254921,0.7290552000049502
bub_0025.obj,492,980,0.007276299991644919,0.00021992600057274103,0.0002958010003203526,0.00749622599221766,0.007572100991965271,0.6937954000313766,0.01176399999530986,0.7055594000266865
bub_0026.obj,492,980,0.007251700037159026,0.0001373030000831932,0.00029606199997942893,0.007389003037242219,0.007547762037138455,0.7020084999967366,0.01336570002604276,0.7153742000227794
bub_0027.obj,492,980,0.007097099965903908,0.00015704700024798512,0.0004980169999180362,0.007254146966151893,0.007595116965821944,0.686312599980738,0.012462800019420683,0.6987754000001587
bub_0028.obj,492,980,0.0072968999738805,0.00025908999959938227,0.0004895770002622158,0.007555989973479882,0.007786476974142715,0.7207625000155531,0.012562599964439869,0.733325099979993
bub_0029.obj,492,980,0.007226699963212013,0.0001189439999870956,0.00034648000029847026,0.007345643963199109,0.007573179963510483,0.698821300000418,0.012259599985554814,0.7110808999859728
bub_0030.obj,492,980,0.007284199993591756,0.00011431800026912242,0.0002945329999784008,0.007398517993860878,0.007578732993570156,0.6898302999907173,0.012588599987793714,0.702418899978511
bub_0031.obj,492,980,0.007438400003593415,0.0001169429998844862,0.00029770300025120375,0.007555343003477901,0.0077361030038446185,0.6971062999800779,0.012694099976215512,0.7098003999562934
bub_0032.obj,492,980,0.007341899967286736,0.00012808400031644852,0.0002967499999795109,0.0074699839676031846,0.007638649967266247,0.7080601999768987,0.012794000038411468,0.7208542000153102
bub_0033.obj,492,980,0.007138499990105629,0.00011209099960979074,0.0002932339999824762,0.007250590989715419,0.0074317339900881055,0.7199702000361867,0.013102500000968575,0.7330727000371553
bub_0034.obj,492,980,0.007474099984392524,0.00013649100030306726,0.0002959250001003966,0.007610590984695591,0.007770024984492921,0.6998640000238083,0.012982900021597743,0.7128469000454061
bub_0035.obj,492,980,0.007342299970332533,0.00012914700026158242,0.0002980259998003021,0.007471446970594115,0.007640325970132835,0.6962036999757402,0.01264979998813942,0.7088534999638796
bub_0036.obj,492,980,0.007303299964405596,0.00014183900028001518,0.00036531999998260287,0.007445138964685611,0.007668619964388199,0.7182248999597505,0.012699900020379573,0.73092479998013
bub_0037.obj,492,980,0.007274900039192289,0.00011302599974442273,0.0002928230003453791,0.007387926038936712,0.0075677230395376684,0.7051399000338279,0.012954699981492013,0.7180946000153199
bub_0038.obj,492,980,0.007375099987257272,0.00011771299992688,0.00029412099975161253,0.007492812987184152,0.007669220987008884,0.7080057999701239,0.012851300009060651,0.7208570999791846
bub_0039.obj,492,980,0.007299399992916733,0.00015268600021954625,0.0002948949998244643,0.00745208599313628,0.007594294992741197,0.7339136999798939,0.01294480002252385,0.7468585000024177
bub_0040.obj,492,980,0.007358799979556352,0.000204712999984622,0.00029437499993946405,0.007563512979540974,0.007653174979495816,0.7420053000096232,0.013471399957779795,0.755476699967403
bub_0041.obj,492,980,0.00738429999910295,0.00019203300005756318,0.00037057300040032714,0.007576332999160513,0.007754872999503277,0.7150974999531172,0.012626200041268021,0.7277236999943852
bub_0042.obj,492,980,0.007458600040990859,0.00015762199996970593,0.00029205700033344326,0.007616222040960565,0.007750657041324303,0.7158263999735937,0.01259669999126345,0.7284230999648571
bub_0043.obj,492,980,0.007294500013813376,0.0002527330000884831,0.00029222500044852497,0.007547233013901859,0.0075867250142619014,0.7496874999487773,0.012543100048787892,0.7622305999975652
bub_0044.obj,492,980,0.007291699992492795,0.00012758999946527183,0.00029444700048770757,0.007419289991958067,0.007586146992980503,0.7155376999871805,0.012646900024265051,0.7281846000114456
