frame_name,n_vertices,n_triangles,t_feat_s,t_infer_cpu_s,t_infer_gpu_s,t_nn8_total_cpu_s,t_nn8_total_gpu_s,t_bem_assemble_s,t_bem_solve_s,t_bem_total_s
bub_0001.obj,492,980,0.007197099970653653,0.00018981800007168204,0.00029834099987056104,0.007386917970725335,0.007495440970524214,0.7178175000008196,0.014801500015892088,0.7326190000167117
bub_0002.obj,492,980,0.0073219999903813004,0.00010508799983654172,0.00029736199998296796,0.007427087990217842,0.007619361990364269,0.7481781000387855,0.015200699970591813,0.7633788000093773
bub_0003.obj,492,980,0.007215499994345009,0.00016883599979337306,0.0002922460000263527,0.007384335994138382,0.007507745994371362,0.82185509998817,0.015748800011351705,0.8376038999995217
bub_0004.obj,492,980,0.007163000002037734,0.00013131000043358653,0.00029561700008343903,0.00729431000247132,0.007458617002121173,0.7846765000140294,0.016302699979860336,0.8009791999938898
bub_0005.obj,492,980,0.007189500029198825,0.00013134100008755923,0.0002946330001577735,0.007320841029286385,0.007484133029356599,0.7949810000136495,0.016772700008004904,0.8117537000216544
bub_0006.obj,492,980,0.007341800024732947,0.00011196099978405983,0.0002976280002621934,0.007453761024517007,0.007639428024995141,0.7708181000198238,0.016443200001958758,0.7872613000217825
bub_0007.obj,492,980,0.007277299999259412,0.00013294899952597916,0.00035413200035691264,0.0074102489987853916,0.007631431999616325,0.7322372000198811,0.01635539997369051,0.7485925999935716
bub_0008.obj,492,980,0.007093200052622706,0.00018689499993342906,0.00029412099975161253,0.007280095052556135,0.007387321052374318,0.797778100008145,0.016852700035087764,0.8146308000432327
bub_0009.obj,492,980,0.007041600008960813,0.00011889400018844754,0.00029195300012361256,0.007160494009149261,0.0073335530090844255,0.8163306000060402,0.016812700021546334,0.8331433000275865
bub_0010.obj,492,980,0.00713379995431751,0.00023901000036858022,0.00029315499996300786,0.007372809954686091,0.007426954954280518,0.8367620999924839,0.016643900016788393,0.8534060000092722
bub_0011.obj,492,980,0.007148100004997104,0.00013156699948012828,0.0002910919999703765,0.007279667004477233,0.007439192004967481,0.8521884999936447,0.016548599989619106,0.8687370999832638
bub_0012.obj,492,980,0.007346700003836304,0.00011891000031027943,0.0002934169996296987,0.007465610004146583,0.007640117003466003,0.8621700999792665,0.016649199998937547,0.8788192999782041
bub_0013.obj,492,980,0.007216099998913705,0.00018348600016906857,0.000293078999966383,0.007399585999082774,0.007509178998880088,0.8841270999982953,0.017292900010943413,0.9014200000092387
bub_0014.obj,492,980,0.007095799956005067,0.00011172399972565472,0.0002939360000891611,0.0072075239557307215,0.007389735956094228,0.8772270000190474,0.01712739997310564,0.894354399992153
bub_0015.obj,492,980,0.007282999984454364,0.0002337399998214096,0.00029812699998728933,0.0075167399842757734,0.007581126984441653,0.9115741000277922,0.017972400004509836,0.929546500032302
bub_0016.obj,492,980,0.007145199982915074,0.00012388600036501883,0.00029357199964579194,0.0072690859832800925,0.007438771982560865,0.8875700000207871,0.017022999993059784,0.9045930000138469
bub_0017.obj,492,980,0.007077300047967583,0.00018310200015548618,0.00029394400015007703,0.007260402048123069,0.00737124404811766,0.9205880999797955,0.01727690000552684,0.9378649999853224
bub_0018.obj,492,980,0.0072212000377476215,0.00013354099995922298,0.00029587399971205743,0.007354741037706844,0.007517074037459679,0.8995418999693356,0.017646500025875866,0.9171883999952115
bub_0019.obj,492,980,0.007228299975395203,0.0001241570001002401,0.0002941880002617836,0.0073524569754954425,0.007522487975656986,0.9879389000125229,0.01713619998190552,1.0050750999944285
bub_0020.obj,492,980,0.007145100040361285,0.00013256200007162987,0.00029379000014159826,0.007277662040432915,0.007438890040502883,0.851704599976074,0.01795140001922846,0.8696559999953024
bub_0021.obj,492,980,0.007182899978943169,0.00013329400040674956,0.000298177000368014,0.007316193979349918,0.007481076979311183,0.7798397999722511,0.017300000006798655,0.7971397999790497
bub_0022.obj,492,980,0.007382999989204109,0.00021971500013023615,0.0003002489998470992,0.0076027149893343445,0.007683248989051208,0.7802395999897271,0.01589920005062595,0.7961388000403531
bub_0023.obj,492,980,0.007165799965150654,0.00024946300021838397,0.00029786699975375085,0.007415262965369038,0.007463666964904405,0.8038977000396699,0.015778599947225302,0.8196762999868952
bub_0024.obj,492,980,0.0070982999750413,0.00010094299970660359,0.00029916799976490436,0.007199242974747904,0.007397467974806204,0.7385891000158153,0.015290500014089048,0.7538796000299044
bub_0025.obj,492,980,0.0071853999979794025,0.00025132999988272784,0.00029586699965875594,0.00743672999786213,0.007481266997638158,0.7426903999876231,0.015032700030133128,0.7577231000177562
bub_0026.obj,492,980,0.007194200006779283,0.00013393300003372132,0.00035487699962686746,0.007328133006813005,0.007549077006406151,0.753402600006666,0.015659799973946065,0.7690623999806121
bub_0027.obj,492,980,0.007194200006779283,0.00010811700019985437,0.00029574699990916995,0.007302317006979138,0.007489947006688453,0.7423231999855489,0.01566330000059679,0.7579864999861456
bub_0028.obj,492,980,0.007064200006425381,0.000131923999870196,0.0002934219996677712,0.007196124006295577,0.0073576220060931515,0.7350896999705583,0.016164000029675663,0.751253700000234
bub_0029.obj,492,980,0.00713240000186488,0.0001197130000218749,0.00029138299985788764,0.007252113001886756,0.0074237830017227675,0.7296795000438578,0.015816400002222508,0.7454959000460804
bub_0030.obj,492,980,0.007138899993151426,0.00016436200006864966,0.0002957710000919178,0.007303261993220076,0.007434670993243344,0.7086226000101306,0.016004799981601536,0.7246273999917321
bub_0031.obj,492,980,0.007131399994250387,0.00011370300024282187,0.00029382599983364345,0.007245102994493209,0.00742522599408403,0.7027172999805771,0.01645930000813678,0.7191765999887139
bub_0032.obj,492,980,0.0070581999607384205,0.0002601259999210015,0.0002969739999389276,0.007318325960659422,0.007355173960677348,0.7350979999755509,0.015767799981404096,0.750865799956955
bub_0033.obj,492,980,0.007229799986816943,0.00013222599984146654,0.0003041150001809001,0.007362025986658409,0.007533914986997843,0.743863399955444,0.016052199993282557,0.7599155999487266
bub_0034.obj,492,980,0.007037300034426153,0.00013459299982059746,0.00029194000002462416,0.00717189303424675,0.007329240034450777,0.7265352999675088,0.015828599978704005,0.7423638999462128
bub_0035.obj,492,980,0.007147500000428408,0.0001363100000889972,0.00029524499957915394,0.0072838100005174055,0.007442745000007562,0.6933052999665961,0.01606779999565333,0.7093730999622494
bub_0036.obj,492,980,0.007141100009903312,0.00024738200008869173,0.0002968819998204708,0.007388482009992004,0.007437982009723783,0.7321959999972023,0.01625800004694611,0.7484540000441484
bub_0037.obj,492,980,0.007100999995600432,0.00011830799980089068,0.0002957479999167845,0.0072193079954013225,0.007396747995517217,0.7801010999828577,0.016253800014965236,0.7963548999978229
bub_0038.obj,492,980,0.007211400021333247,0.00010090499999932945,0.00029775200004223735,0.007312305021332577,0.0075091520213754846,0.7628805999993347,0.01560270000481978,0.7784833000041544
bub_0039.obj,492,980,0.007190000033006072,0.000132175000035204,0.000292767999926582,0.007322175033041276,0.007482768032932654,0.7821774000185542,0.016234999988228083,0.7984124000067823
bub_0040.obj,492,980,0.007175100035965443,0.00021525499993003906,0.0002955949999159202,0.007390355035895481,0.007470695035881363,0.7726311999722384,0.015948900021612644,0.788580099993851
bub_0041.obj,492,980,0.0070804000133648515,0.0001248120004311204,0.00029339400003664196,0.007205212013795972,0.007373794013401494,0.7532088999869302,0.01570049999281764,0.7689093999797478
bub_0042.obj,492,980,0.007027400017250329,0.0001260409998940304,0.0002914340002462268,0.00715344101714436,0.007318834017496556,0.7928881999687292,0.015244400012306869,0.808132599981036
bub_0043.obj,492,980,0.00709529995219782,0.0001355360000161454,0.0002923919999739155,0.007230835952213965,0.007387691952171736,0.8051925000036135,0.015606999979354441,0.820799499982968
bub_0044.obj,492,980,0.007161899993661791,0.0001311359996907413,0.0002936810004757717,0.007293035993352532,0.007455580994137563,0.8036507000215352,0.01568110001971945,0.8193318000412546
bub_0045.obj,492,980,0.007209600007627159,0.00012071000004652888,0.00029989800008479507,0.0073303100076736885,0.007509498007711954,0.7987187000107951,0.014595699962228537,0.8133143999730237
bub_0046.obj,492,980,0.007097299967426807,0.00013206399977207185,0.0002914620004594326,0.007229363967198878,0.00738876196788624,0.8110485000070184,0.014591299986932427,0.8256397999939509
bub_0047.obj,492,980,0.007203200017102063,0.0002512540004681796,0.00029225499951280654,0.007454454017570242,0.007495455016614869,0.8412035999936052,0.014747999957762659,0.8559515999513678
bub_0048.obj,492,980,0.007189500029198825,0.00013545199995860458,0.00029288899968378247,0.00732495202915743,0.007482389028882608,0.8267005000379868,0.014387599949259311,0.8410880999872461
bub_0049.obj,492,980,0.007348500017542392,0.00012483700003940613,0.00029391200048848985,0.007473337017581798,0.007642412018030882,0.8379743000259623,0.01457010000012815,0.8525444000260904
bub_0050.obj,492,980,0.007214599987491965,0.00018766599998343736,0.00035061799979303033,0.0074022659874754025,0.007565217987284996,0.8632224000175484,0.014481600024737418,0.8777040000422858
bub_0051.obj,492,980,0.007271500013303012,0.00013472699967678636,0.00029268399986904115,0.007406227012979798,0.007564184013172053,0.8284237000043504,0.014506899984553456,0.8429305999889039
bub_0052.obj,492,980,0.007246199995279312,0.00013686200021766125,0.00029339600005187096,0.007383061995496974,0.007539595995331183,0.840090700017754,0.01437910000095144,0.8544698000187054
bub_0053.obj,492,980,0.007389999984297901,0.00013354900002013892,0.0002944390004267916,0.00752354898431804,0.007684438984724693,0.8378046999569051,0.014808100007940084,0.8526127999648452
bub_0054.obj,492,980,0.007220499974209815,0.00011993099993560463,0.0002930960000958294,0.00734043097414542,0.0075135959743056445,0.846784099994693,0.014578300004359335,0.8613623999990523
bub_0055.obj,492,980,0.0072954000206664205,0.00021285699971485884,0.0002944880002178252,0.007508257020381279,0.007589888020884245,0.8967711000004783,0.014892000006511807,0.9116631000069901
bub_0056.obj,492,980,0.0071625999989919364,0.00022176300000865013,0.0002919879998080432,0.0073843629990005865,0.00745458799879998,0.8865173999802209,0.014343300019390881,0.9008606999996118
bub_0057.obj,492,980,0.007140100002288818,0.00020497399964369833,0.000291768999886699,0.007345074001932517,0.007431869002175517,0.8633011000347324,0.014356200001202524,0.8776573000359349
bub_0058.obj,492,980,0.007177799998316914,0.00012397299986332655,0.00029671199969016015,0.0073017729981802405,0.007474511998007074,0.8501604999764822,0.014039300032891333,0.8641998000093736
bub_0059.obj,492,980,0.007317200012039393,0.00011597299948334694,0.0002937160001602024,0.00743317301152274,0.007610916012199595,0.8640676999930292,0.014314899977762252,0.8783825999707915
bub_0060.obj,492,980,0.007236199977342039,0.00025633200013544413,0.00029454700008500366,0.007492531977477484,0.0075307469774270434,0.8911150999483652,0.014210800000000745,0.905325899948366
bub_0061.obj,492,980,0.0071638000081293285,0.00011394099972676486,0.0002957450004760176,0.007277741007856093,0.007459545008605346,0.8710169999976642,0.0136824999935925,0.8846994999912567
bub_0062.obj,492,980,0.0070315999910235405,0.00013215700048021972,0.000290526999742724,0.0071637569915037605,0.007322126990766264,0.8870858000009321,0.013997899950481951,0.901083699951414
bub_0063.obj,492,980,0.007045200036372989,0.00016350100049749016,0.0002962500002468005,0.007208701036870479,0.00734145003661979,0.8839775000233203,0.013992199965287,0.8979696999886073
bub_0064.obj,492,980,0.007117800007108599,0.00012697900005150586,0.0002984869998181239,0.007244779007160105,0.007416287006926723,0.8940662000095472,0.013698599999770522,0.9077648000093177
bub_0065.obj,492,980,0.007033700007013977,0.0002502130001084879,0.0002941429999191314,0.0072839130071224644,0.007327843006933108,0.9111165999784134,0.014240199991036206,0.9253567999694496
