path,bub_id,frame,n_vertices,f_hz_bem,f_hz_nn8_10k,f_hz_poly2
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01600.obj,1,01600,4240,5.517223643333392,5.51036939,5.71491804
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01650.obj,1,01650,4220,5.525839437551272,5.51691587,5.72904844
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01700.obj,1,01700,4230,5.532691940083257,5.5183899,5.7534591
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01750.obj,1,01750,4280,5.541412674742692,5.52560787,5.75978112
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01800.obj,1,01800,4388,5.550812049860002,5.52532793,5.80893198
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01850.obj,1,01850,4522,5.5566325505967935,5.5273122,5.84394234
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01900.obj,1,01900,4576,5.567251034881322,5.52656373,5.93555632
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01950.obj,1,01950,4742,5.575882278897177,5.52422937,6.05934552
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_02000.obj,1,02000,4914,5.581670396330991,5.51334852,6.26077629
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_02050.obj,1,02050,5156,5.586712132554334,5.50880228,6.45664162
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_02100.obj,1,02100,5490,5.590609988633242,5.49003888,6.88033846
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_02150.obj,1,02150,5662,5.5921500945637055,5.47794661,7.12143477
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_02200.obj,1,02200,5886,5.6063722943099705,5.54382134,6.6412949
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_02250.obj,1,02250,5962,5.608629612408812,5.55616699,6.57888963
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_02300.obj,1,02300,5974,5.600582490520752,5.55597558,6.55740499
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_02350.obj,1,02350,5864,5.5990254745072745,5.56852553,6.25116731
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_02400.obj,1,02400,5858,5.584840363411151,5.53311296,6.41637101
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_02450.obj,1,02450,5576,5.60745828697933,5.58468174,5.82019076
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_02500.obj,1,02500,5368,5.618708639466742,5.58188897,5.69972048
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_02550.obj,1,02550,5310,5.6177078725624385,5.58394348,5.69342825
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_02600.obj,1,02600,5184,5.621047931240763,5.58786825,5.69882809
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_02650.obj,1,02650,5140,5.625315968988136,5.59598955,5.76226159
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_02700.obj,1,02700,5036,5.63327790728408,5.59542322,5.71474719
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_02750.obj,1,02750,4986,5.643031888911948,5.59811465,5.73902092
