path,bub_id,frame,n_vertices_prepared,n_vertices_unit,n_triangles,t_mesh_load_s,t_feat_s,t_inference_gpu_s,t_inference_gpu_fwd_s,t_inference_cpu_s,t_nn8_total_gpu_s,t_nn8_total_cpu_s,t_bem_assemble_s,t_bem_solve_s,t_bem_s,f_hz_bem,f_hz_nn8_unit
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_00000.obj,1,00000,2622,2622,5240,0.00960970000596717,0.048486399988178164,0.00030236000020522624,0.00018710200005443765,0.00015719299990450962,0.04878875998838339,0.04864359298808267,17.81293790001655,0.3218310000083875,18.134768900024937,5.293385806984718,5.293950863395551
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_00400.obj,1,00400,2622,2622,5240,0.009262300009140745,0.0502103999897372,0.00029362100001890213,0.00019495399988954886,0.00027669100003549827,0.0505040209897561,0.05048709098977269,17.369998600013787,0.32530970001243986,17.695308300026227,5.293385806984718,5.293950863395551
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_00450.obj,1,00450,2854,2854,5704,0.010206200007814914,0.05193019998841919,0.0003920670002116822,0.00020834700000705198,0.0001738939998904243,0.05232226698863087,0.05210409398830961,19.894920899998397,0.3984838000033051,20.2934047000017,5.295911253145447,5.295639293313194
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_00500.obj,1,00500,2882,2882,5760,0.010844899981748313,0.05035240002325736,0.00029671700001927093,0.00019361100014066322,0.00023100499995052815,0.05064911702327663,0.050583405023207885,22.31451530000777,0.4054011999978684,22.71991650000564,5.2954299684611765,5.295299039259167
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_00550.obj,1,00550,3002,3002,6000,0.010677500016754493,0.050863999989815056,0.0002963219999219291,0.00018907799996668474,0.0002423619999899529,0.05116032198973699,0.05110636198980501,22.382257500023115,0.460156300017843,22.84241380004096,5.3019121776167575,5.301596331635397
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_00600.obj,1,00600,3056,3056,6108,0.011068199994042516,0.05183960002614185,0.0003532470000209287,0.00019011099997442215,0.0002487799999653362,0.05219284702616278,0.05208838002610719,22.646411499998067,0.5379554999817628,23.18436699997983,5.301532160208118,5.302471091147336
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_00650.obj,1,00650,2962,2962,5920,0.011582300008740276,0.05127070000162348,0.0003556089999619871,0.00018956200015963988,0.00020657400018535553,0.05162630900158547,0.051477274001808834,22.407659399992554,0.43737810000311583,22.84503749999567,5.300438338971295,5.301026298704824
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_00700.obj,1,00700,2934,2934,5864,0.010982500010868534,0.05194350000238046,0.0004422119999071583,0.00019118199998047203,0.0001873309997608885,0.052385712002287615,0.05213083100214135,21.358944299980067,0.43003869999665767,21.788982999976724,5.299371479239919,5.298942597990056
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_00750.obj,1,00750,2902,2902,5800,0.010295299987774342,0.050366600014967844,0.0002962520002620295,0.00022949100006371736,0.00020211199996992947,0.050662852015229874,0.050568712014937775,20.288024100009352,0.4180785000207834,20.706102600030135,5.3017060270599226,5.3001682050792365
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_00800.obj,1,00800,2898,2898,5792,0.010124899999937043,0.048210800014203414,0.0003206129997852258,0.00021836500003701075,0.0002660640000249259,0.04853141301398864,0.04847686401422834,22.100862499995856,0.5025611000019126,22.603423599997768,5.308077624964639,5.306335917443189
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_00850.obj,1,00850,2964,2964,5924,0.010932400007732213,0.05193789998884313,0.0003035370001452975,0.0001916590001201257,0.00017395300004864112,0.05224143698898843,0.05211185298889177,21.812403399992036,0.4461645999981556,22.25856799999019,5.3104453988455065,5.307784055231168
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_00900.obj,1,00900,2930,2930,5856,0.010599600005662069,0.049095199996372685,0.000424625999876298,0.00019749900005990639,0.00018044799973722546,0.04951982599624898,0.04927564799610991,20.747390600008657,0.4262888999946881,21.173679500003345,5.321955095089445,5.318592071274823
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_00950.obj,1,00950,2988,2988,5972,0.01084519998403266,0.050552900007460266,0.00036244999995687976,0.00021941299986792727,0.00026734799990663305,0.05091535000741715,0.0508202480073669,23.773311299999477,0.44819870000355877,24.221510000003036,5.330466111761471,5.328516845929232
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01000.obj,1,01000,3120,3120,6236,0.011065500002587214,0.053465800010599196,0.00029495499999029564,0.00018581700016511604,0.00023986500018509106,0.053760755010589495,0.05370566501078429,24.47462550000637,0.4772018000076059,24.951827300013974,5.3427795010559445,5.342078630246028
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01050.obj,1,01050,3202,3202,6400,0.011382099997717887,0.05308610000065528,0.00029204499995103103,0.00021994000009726734,0.0002065940000466071,0.05337814500060631,0.053292694000701885,24.71355770001537,0.501592900021933,25.215150600037305,5.355859679956774,5.3593836717492636
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01100.obj,1,01100,3284,3284,6564,0.014154900010908023,0.054055700020398945,0.0003118049999466166,0.00024322800018126146,0.00015293900010874496,0.05436750502034556,0.05420863902050769,28.470014999998966,0.5337037999997847,29.00371879999875,5.370293312200057,5.3758616034403675
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01150.obj,1,01150,3368,3368,6732,0.011951099993893877,0.054908799997065216,0.00029308299999684093,0.0001871269999537617,0.00025958699989132584,0.05520188299706206,0.055168386996956545,28.87318110000342,0.5675123000110034,29.440693400014425,5.385355901642285,5.390286648796018
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01200.obj,1,01200,3454,3454,6904,0.012658599996939301,0.0578862999973353,0.00031336499989265576,0.0001922960000229068,0.0001905609999084845,0.05819966499722796,0.05807686099724378,32.1390195999993,0.6201153000001796,32.75913489999948,5.399508838332418,5.401154490507578
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01250.obj,1,01250,3602,3602,7200,0.013036200019996613,0.05939170002238825,0.0003699419999611564,0.00019087900000158697,0.00013463900017086417,0.059761642022349404,0.05952633902255911,33.19134930000291,0.6260758000134956,33.81742510001641,5.418313407584537,5.413676759874691
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01300.obj,1,01300,3794,3794,7584,0.013375600014114752,0.05939569999463856,0.0002983069999027066,0.00019252199999755248,0.00025055099977180364,0.05969400699454127,0.059646250994410364,41.875660199992126,1.102074000024004,42.97773420001613,5.435295865191296,5.422295950646541
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01350.obj,1,01350,3960,3960,7916,0.014302199997473508,0.06178089999593794,0.00029844500008039174,0.00018947300006402656,0.0002571870002429932,0.06207934499601833,0.062038086996180936,45.179334499989636,0.7937718000030145,45.97310629999265,5.453102989031524,5.431172298465156
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01400.obj,1,01400,4106,4106,8216,0.02022830001078546,0.0633938999962993,0.000293017000076361,0.0002115580000099726,0.000245887000055518,0.06368691699637566,0.06363978699635481,48.61193029998685,0.9112909999967087,49.52322129998356,5.4668948626782194,5.4406403779639545
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01450.obj,1,01450,4148,4148,8296,0.01465009999810718,0.06299249999574386,0.0003000830000382848,0.00019275099999504163,0.00011364000005414709,0.06329258299578214,0.063106139995798,49.72178110000095,1.0973482999834232,50.81912939998438,5.485699752359097,5.4804678513471785
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01500.obj,1,01500,4156,4156,8312,0.014963399997213855,0.06250790000194684,0.0002968720000353642,0.00019162300013704227,0.00025989699992351234,0.0628047720019822,0.06276779700187035,51.15809149999404,1.003789800015511,52.161881300009554,5.492749843937654,5.489889667375658
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01550.obj,1,01550,4114,4114,8228,0.01468569997814484,0.06550530000822619,0.00029278700007125737,0.00018779200006974862,0.00019094300019787625,0.06579808700829744,0.06569624300842407,48.38625390001107,1.0599837999907322,49.4462377000018,5.508891484864222,5.500914391589283
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01600.obj,1,01600,4240,4240,8480,0.01515390002168715,0.06450619999668561,0.0003021860000444576,0.00018352999992202968,0.0002578729999368079,0.06480838599673007,0.06476407299662242,52.77989850001177,0.9260364999936428,53.70593500000541,5.517223643333392,5.510369387885525
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01650.obj,1,01650,4220,4220,8440,0.015475899999728426,0.06776529998751357,0.00029462999984389174,0.00019146199978422373,0.0002683219997561537,0.06805992998735746,0.06803362198726973,51.90484469998046,1.094386700016912,52.99923139999737,5.5258394375512685,5.516915870226096
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01700.obj,1,01700,4230,4230,8460,0.015901600010693073,0.060529999987920746,0.0003028060001088306,0.00019113800022751092,0.0002632699999958277,0.06083280598802958,0.06079326998791657,52.08593699999619,1.1167714999755844,53.20270849997178,5.532691940083259,5.518389900248989
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01750.obj,1,01750,4280,4280,8560,0.017868900002213195,0.061348000017460436,0.00029454900010023266,0.00020075200009159744,0.00016746000008424744,0.061642549017560666,0.06151546001754468,52.87217450002208,1.0417947000241838,53.91396920004627,5.541412674742691,5.5256078688497405
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01800.obj,1,01800,4388,4388,8776,0.021662000013748184,0.07575319998431951,0.0002951769999344833,0.00018925200012745336,0.00024456400016788395,0.07604837698425398,0.07599776398448739,57.61572829997749,1.1493341000168584,58.76506239999435,5.550812049860005,5.525327926831222
<bubblegym-data>/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_01850.obj,1,01850,4522,4522,9044,0.016523699974641204,0.06422160001238808,0.0003007510001771152,0.0001853080000728369,0.00027195500006200747,0.06452235101256519,0.06449355501245009,59.788554400001885,1.4544896000006702,61.243044000002556,5.5566325505967935,5.527312198339639
