frame,n_vertices,n_triangles,t_bem_assemble_s,t_bem_solve_s,t_bem_s,t_feat_s,t_inference_gpu_s,f_hz_bem,f_hz_nn8_unit,source
0,2622,5240,17.81293790001655,0.3218310000083875,18.134768900024937,0.048486399988178164,0.00030236000020522624,5.293385806984718,5.293950863395551,chunk_0000.csv
400,2622,5240,17.369998600013787,0.32530970001243986,17.695308300026227,0.0502103999897372,0.00029362100001890213,5.293385806984718,5.293950863395551,chunk_0000.csv
450,2854,5704,19.894920899998397,0.3984838000033051,20.2934047000017,0.05193019998841919,0.0003920670002116822,5.295911253145447,5.295639293313194,chunk_0000.csv
500,2882,5760,22.31451530000777,0.4054011999978684,22.71991650000564,0.05035240002325736,0.00029671700001927093,5.2954299684611765,5.295299039259167,chunk_0000.csv
550,3002,6000,22.382257500023115,0.460156300017843,22.84241380004096,0.050863999989815056,0.0002963219999219291,5.3019121776167575,5.301596331635397,chunk_0000.csv
600,3056,6108,22.646411499998067,0.5379554999817628,23.18436699997983,0.05183960002614185,0.0003532470000209287,5.301532160208118,5.302471091147336,chunk_0000.csv
650,2962,5920,22.407659399992554,0.43737810000311583,22.84503749999567,0.05127070000162348,0.0003556089999619871,5.300438338971295,5.301026298704824,chunk_0000.csv
700,2934,5864,21.358944299980067,0.43003869999665767,21.788982999976724,0.05194350000238046,0.0004422119999071583,5.299371479239919,5.298942597990056,chunk_0000.csv
750,2902,5800,20.288024100009352,0.4180785000207834,20.706102600030135,0.050366600014967844,0.0002962520002620295,5.3017060270599226,5.3001682050792365,chunk_0000.csv
800,2898,5792,22.100862499995856,0.5025611000019126,22.603423599997768,0.048210800014203414,0.0003206129997852258,5.308077624964639,5.306335917443189,chunk_0000.csv
850,2964,5924,21.812403399992036,0.4461645999981556,22.25856799999019,0.05193789998884313,0.0003035370001452975,5.3104453988455065,5.307784055231168,chunk_0000.csv
900,2930,5856,20.747390600008657,0.4262888999946881,21.173679500003345,0.049095199996372685,0.000424625999876298,5.321955095089445,5.318592071274823,chunk_0000.csv
950,2988,5972,23.773311299999477,0.44819870000355877,24.221510000003036,0.050552900007460266,0.00036244999995687976,5.330466111761471,5.328516845929232,chunk_0000.csv
1000,3120,6236,24.47462550000637,0.4772018000076059,24.951827300013974,0.053465800010599196,0.00029495499999029564,5.3427795010559445,5.342078630246028,chunk_0000.csv
1050,3202,6400,24.71355770001537,0.501592900021933,25.215150600037305,0.05308610000065528,0.00029204499995103103,5.355859679956774,5.3593836717492636,chunk_0000.csv
1100,3284,6564,28.470014999998966,0.5337037999997847,29.00371879999875,0.054055700020398945,0.0003118049999466166,5.370293312200057,5.3758616034403675,chunk_0000.csv
1150,3368,6732,28.87318110000342,0.5675123000110034,29.440693400014425,0.054908799997065216,0.00029308299999684093,5.385355901642285,5.390286648796018,chunk_0000.csv
1200,3454,6904,32.1390195999993,0.6201153000001796,32.75913489999948,0.0578862999973353,0.00031336499989265576,5.399508838332418,5.401154490507578,chunk_0000.csv
1250,3602,7200,33.19134930000291,0.6260758000134956,33.81742510001641,0.05939170002238825,0.0003699419999611564,5.418313407584537,5.413676759874691,chunk_0000.csv
1300,3794,7584,41.875660199992126,1.102074000024004,42.97773420001613,0.05939569999463856,0.0002983069999027066,5.435295865191296,5.422295950646541,chunk_0000.csv
1350,3960,7916,45.179334499989636,0.7937718000030145,45.97310629999265,0.06178089999593794,0.00029844500008039174,5.453102989031524,5.431172298465156,chunk_0000.csv
1400,4106,8216,48.61193029998685,0.9112909999967087,49.52322129998356,0.0633938999962993,0.000293017000076361,5.4668948626782194,5.4406403779639545,chunk_0000.csv
1450,4148,8296,49.72178110000095,1.0973482999834232,50.81912939998438,0.06299249999574386,0.0003000830000382848,5.485699752359097,5.4804678513471785,chunk_0000.csv
1500,4156,8312,51.15809149999404,1.003789800015511,52.161881300009554,0.06250790000194684,0.0002968720000353642,5.492749843937654,5.489889667375658,chunk_0000.csv
1550,4114,8228,48.38625390001107,1.0599837999907322,49.4462377000018,0.06550530000822619,0.00029278700007125737,5.508891484864222,5.500914391589283,chunk_0000.csv
1600,4240,8480,52.77989850001177,0.9260364999936428,53.70593500000541,0.06450619999668561,0.0003021860000444576,5.517223643333392,5.510369387885525,chunk_0000.csv
1650,4220,8440,51.90484469998046,1.094386700016912,52.99923139999737,0.06776529998751357,0.00029462999984389174,5.5258394375512685,5.516915870226096,chunk_0000.csv
1700,4230,8460,52.08593699999619,1.1167714999755844,53.20270849997178,0.060529999987920746,0.0003028060001088306,5.532691940083259,5.518389900248989,chunk_0000.csv
1750,4280,8560,52.87217450002208,1.0417947000241838,53.91396920004627,0.061348000017460436,0.00029454900010023266,5.541412674742691,5.5256078688497405,chunk_0000.csv
1800,4388,8776,57.61572829997749,1.1493341000168584,58.76506239999435,0.07575319998431951,0.0002951769999344833,5.550812049860005,5.525327926831222,chunk_0000.csv
1850,4522,9044,59.788554400001885,1.4544896000006702,61.243044000002556,0.06422160001238808,0.0003007510001771152,5.5566325505967935,5.527312198339639,chunk_0000.csv
1900,4576,9152,62.230698200000916,1.5136623999860603,63.744360599986976,0.0649332000175491,0.00029618000000482427,5.567251034881321,5.526563730713293,chunk_0000.csv
1950,4742,9484,67.51997100000153,1.611160899978131,69.13113189997966,0.06803289998788387,0.0002952080001705326,5.57588227889718,5.524229373798542,chunk_0000.csv
2000,4914,9828,72.90646820000256,1.7933785000059288,74.6998467000085,0.07082059999811463,0.000300617000029888,5.581670396330989,5.513347862328438,chunk_0000.csv
2050,5156,10312,75.26233980001416,1.656505200022366,76.91884500003653,0.07094420000794344,0.0003188510000472888,5.586712132554314,5.508802277858616,chunk_9000.csv
2100,5490,10988,94.79401149999467,2.437408300000243,97.23141979999491,0.07362090001697652,0.00029559800022980196,5.590609988633242,5.490038883056576,chunk_9000.csv
