bub_id,frame,n_vertices,t_mesh_load_s,t_feat_s
1,0,2622,0.008944900007918477,0.06105429999297485
1,400,2622,0.008899400010704994,0.04859240000951104
1,450,2854,0.009669399994891137,0.05067870000493713
1,500,2882,0.010109800001373515,0.05129470000974834
1,550,3002,0.01040230001672171,0.05171429997426458
1,600,3056,0.048506999999517575,0.05100600002333522
1,650,2962,0.00990609999280423,0.05026170000201091
1,700,2934,0.009934000001521781,0.052670100005343556
1,750,2902,0.009768799995072186,0.04904149999492802
1,800,2898,0.010896499996306375,0.047201599983964115
1,850,2964,0.010090800002217293,0.05193169999984093
1,900,2930,0.010075700003653765,0.051308900001458824
1,950,2988,0.010250699997413903,0.05627390000154264
1,1000,3120,0.01054889999795705,0.056270800007041544
1,1050,3202,0.012899900000775233,0.05333970001083799
1,1100,3284,0.011210199998458847,0.05407859999104403
1,1150,3368,0.05065170000307262,0.05454409998492338
1,1200,3454,0.01273139999830164,0.057869100011885166
1,1250,3602,0.012545000005047768,0.0574806000222452
1,1300,3794,0.012956399994436651,0.059367300011217594
1,1350,3960,0.013559899991378188,0.06007569999201223
1,1400,4106,0.013882200000807643,0.06515239999862388
1,1450,4148,0.01394200001959689,0.06101659999694675
1,1500,4156,0.014784099999815226,0.061854700004914775
1,1550,4114,0.05366529998718761,0.06301310000708327
1,1600,4240,0.014357000007294118,0.06701849997625686
1,1650,4220,0.014323200011858717,0.06491149999783374
1,1700,4230,0.013996000023325905,0.06002920001628809
1,1750,4280,0.01551540000946261,0.061610300006577745
1,1800,4388,0.016081699985079467,0.06491320001077838
1,1850,4522,0.015573599986964837,0.06486100002075545
1,1900,4576,0.015750199992908165,0.06396369999856688
1,1950,4742,0.05539279998629354,0.06647799999336712
1,2000,4914,0.016740199993364513,0.06722709999303333
1,2050,5156,0.017516299994895235,0.07302089998847805
1,2100,5490,0.01861939998343587,0.07683070001075976
1,2150,5662,0.01922839999315329,0.07942180000827648
1,2200,5886,0.020176999998511747,0.08171159998164512
1,2250,5962,0.05823190000955947,0.07571269999607466
1,2300,5974,0.020012299995869398,0.08016139999381267
1,2350,5864,0.01991400000406429,0.07709509998676367
1,2400,5858,0.019683599995914847,0.0747004000004381
1,2450,5576,0.020511699985945597,0.07217769999988377
1,2500,5368,0.05985879999934696,0.06815279999864288
1,2550,5310,0.01827260002028197,0.06740650002029724
1,2600,5184,0.017819899978348985,0.07059529999969527
1,2650,5140,0.01775689999340102,0.06947710001259111
1,2700,5036,0.016864100005477667,0.06657009999617003
1,2750,4986,0.017475800006650388,0.06595109999761917
1,2800,5004,0.017248300020582974,0.0716672999842558
1,2850,4988,0.052652499987743795,0.06655029999092221
1,2900,5012,0.017798799992306158,0.06749549999949522
1,2950,4882,0.016397500003222376,0.06673970000701956
1,3000,4832,0.016192000010050833,0.062270900001749396
1,3050,4740,0.017530900018755347,0.06389679998392239
1,3100,4512,0.015322899998864159,0.06390619999729097
1,3150,4308,0.049695399997290224,0.057192100008251145
1,3200,4428,0.015112099994439632,0.05968780000694096
1,3250,4462,0.015836200007470325,0.060882599995238706
1,3300,4434,0.01502190000610426,0.0616407000052277
1,3350,4486,0.015059800003655255,0.06135790000553243
1,3400,4536,0.015406999998958781,0.06144610000774264
1,3450,4692,0.015853599994443357,0.06742999999551103
1,3500,4892,0.051679199998034164,0.07140800001798198
1,3550,5044,0.01693340000929311,0.06856479999260046
1,3600,5032,0.01692139997612685,0.0714919000165537
1,3650,5098,0.01715400000102818,0.0675790999957826
1,3700,5170,0.0175024000054691,0.07238339999457821
1,3750,5264,0.018198000005213544,0.07541039999341592
1,3800,4934,0.062478600011672825,0.06477239998639561
1,3850,4842,0.01614630001131445,0.06386110000312328
1,3900,4666,0.015606400003889576,0.06489280000096187
1,3950,4728,0.015885500004515052,0.062407399993389845
1,4000,4806,0.015909799985820428,0.06186640000669286
1,4050,4898,0.017614499985938892,0.06622950002201833
1,4100,4938,0.01663990001543425,0.06423049999284558
1,4150,4834,0.05462869998882525,0.06778529999428429
1,4200,4870,0.01643260000855662,0.06887190000270493
1,4250,5000,0.016666300012730062,0.06584839997231029
1,4300,5086,0.017002100008539855,0.06814139999914914
1,4350,5380,0.01788119997945614,0.07994950001011603
1,4400,5498,0.01907119998941198,0.07229720000759698
1,4450,5744,0.019618199992692098,0.07519180001690984
1,4500,5980,0.06040639997809194,0.08522690000245348
1,4550,6206,0.02127150000887923,0.08155569998780265
1,4600,6298,0.021842499991180375,0.0846093000145629
1,4650,6340,0.02200179998180829,0.0870858000125736
1,4700,6280,0.02151719998801127,0.07973050000146031
1,4750,5864,0.05783579999115318,0.07800670000142418
1,4800,5662,0.019257500011008233,0.07911760002025403
1,4850,5492,0.018854399997508153,0.07264479997684248
1,4900,5400,0.01874950001365505,0.06913769998936914
