mesh_id,mesh_filename,source,surface_area,volume,M,W_vertex,Phi_VM,V_hull,A_hull,M_hull,eta_V,eta_A,eta_M,i00,i11,i22,frequency,f_strasberg
VOF/bubble.0019.0.obj,bubble.0019.0.obj,VOF,7.670295150348972,0.9999999999999994,16.602263649271826,87.74434536503584,0.4695476679641464,1.9003402877600133,10.638213139246483,15.976167562530955,0.5262215438155703,0.7210134869409344,1.0391893790729425,0.07953609346001264,1.1389820245120805,1.1625466446609654,6.300185967,5.992468156582136
VOF/bubble.0020.14.obj,bubble.0020.14.obj,VOF,5.735611630589524,0.9999999999999994,12.032291699195168,49.53545273295597,0.6478860697802852,1.263852752432734,6.836314214265833,11.434469087655062,0.7912314136873491,0.8389918091565491,1.052282498379005,0.11417248829400845,0.2409584401698583,0.272325915640184,5.678151657,5.405068296569641
VOF/bubble.0020.3.obj,bubble.0020.3.obj,VOF,5.636403411436341,0.9999999999999996,10.750246225016738,37.61058999323784,0.7251512213088281,1.2567579689071036,6.389642748715668,10.171053455073167,0.7956981572749566,0.8821155787730495,1.0569452095106902,0.12471522735185728,0.22281955342727724,0.2502382389292742,5.570797204,5.366805854383645
VOF/bubble.0021.18.obj,bubble.0021.18.obj,VOF,5.091444932624913,1.0000000000000002,8.200708839713121,26.01928843107902,0.950595165833764,1.005956881581154,5.100804203398399,8.198537435638853,0.994078392732111,0.998165138201688,1.0002648526144222,0.14079102492718126,0.1541208942248209,0.1913880360502796,5.340121938,5.315233894013674
VOF/bubble.0021.22.obj,bubble.0021.22.obj,VOF,4.939324665978022,0.9999999999999996,7.971853046568596,18.22394253809502,0.9778848322846372,1.001333431763786,4.941765215936695,7.971204904102758,0.9986683439087444,0.9995061380191026,1.0000813104760993,0.13441350129849566,0.16245811119631196,0.1791177988882194,5.313659356,5.30671316357545
VOF/bubble.0022.15.obj,bubble.0022.15.obj,VOF,5.2852481742957735,0.9999999999999996,8.635996647257528,17.666269724286444,0.9026814735873115,1.0097697179827565,5.301561945451466,8.632030438216757,0.9903248059346896,0.9969228368311928,1.0004594757941552,0.1064790218767057,0.22292638100036913,0.23997469644041788,5.411923884,5.385845868475852
VOF/bubble.0022.22.obj,bubble.0022.22.obj,VOF,4.901274127623421,0.9999999999999996,7.905739856490889,14.219666158178434,0.9860625723778508,1.0001089337528364,4.901325218175483,7.905716903314797,0.9998910781124332,0.9999895761758734,1.0000029033642834,0.1323508206851232,0.16566203959670744,0.17722001733926027,5.308616594,5.306849110795375
VOF/bubble.0023.2.obj,bubble.0023.2.obj,VOF,4.947650798021021,0.9999999999999992,7.981801058547463,14.369638266456237,0.9766660584823132,1.0001797556224372,4.947760535179119,7.981759664429337,0.9998202766838384,0.9999778208429212,1.000005186089267,0.12814269651321838,0.1698364966276872,0.187013387344158,5.320905537,5.31619753573432
VOF/bubble.0023.22.obj,bubble.0023.22.obj,VOF,4.954186243480809,0.9999999999999996,7.985417930132759,17.37563197506375,0.9762236926917992,1.0010009718529187,4.955814519392263,7.9849031428817,0.9990000290898156,0.9996714413130108,1.0000644700683086,0.1356030540683881,0.1579825993014552,0.18750877113827552,5.318645544,5.3135830315919605
VOF/bubble.0023.25.obj,bubble.0023.25.obj,VOF,4.956374494743657,0.9999999999999996,7.992575761070761,14.659900510245812,0.9753494258272932,1.0001332236099134,4.956456666815249,7.992535583374651,0.999866794136252,0.9999834212064956,1.0000050269023757,0.12802361146689262,0.16759299074737016,0.1927014492925275,5.323507909,5.321757950730159
