series,bin,n,scalar_lo,scalar_hi,mape_pct,sem_ape_pct,max_ape_pct
minnaert,0,10,0.0020291281398385763,0.014823480509221554,0.9001292538798908,0.031066179875057172,1.0171740274960663
minnaert,1,10,0.014823480509221554,0.02183837965130806,1.039820559140057,0.023978711168966556,1.1467715309621986
minnaert,2,10,0.02183837965130806,0.032758226245641724,1.2287317345153503,0.03727968900818879,1.442751877321339
minnaert,3,10,0.032758226245641724,0.0483371302485466,1.5333010648805447,0.0681090295856992,1.815168895551555
minnaert,4,10,0.0483371302485466,0.07120008021593094,2.003125849633666,0.09456161946246812,2.3456973352542083
minnaert,5,10,0.07120008021593094,0.1073639571666718,2.823549442653749,0.1422902997922528,3.6340943636705543
minnaert,6,10,0.1073639571666718,0.155589708685875,3.583922162264611,0.19351704009648657,4.769027975392173
minnaert,7,10,0.155589708685875,0.25735638737678534,5.666807432292858,0.5231870176995953,7.170511796388529
minnaert,8,10,0.25735638737678534,0.425507313013077,9.33006499470019,0.8612685487899345,12.5573196161311
minnaert,9,10,0.425507313013077,0.8039887547492981,16.824956263650147,1.7349551065267215,24.9702740300792
strasberg,0,10,0.0020291281398385763,0.014823480509221554,0.061134369664359034,0.013068748274697513,0.13318058380756811
strasberg,1,10,0.014823480509221554,0.02183837965130806,0.13618779538824585,0.017651736023587782,0.22698586372987117
strasberg,2,10,0.02183837965130806,0.032758226245641724,0.21091325631910568,0.04161385000114445,0.4363283909589111
strasberg,3,10,0.032758226245641724,0.0483371302485466,0.26301603951656427,0.04812720751247475,0.5001102809460491
strasberg,4,10,0.0483371302485466,0.07120008021593094,0.34225343571048084,0.05827795957956044,0.7629143840135337
strasberg,5,10,0.07120008021593094,0.1073639571666718,0.5610264021778446,0.13267396102661708,1.512570094215625
strasberg,6,10,0.1073639571666718,0.155589708685875,0.8476767868146687,0.1959936347036952,2.0863122510024215
strasberg,7,10,0.155589708685875,0.25735638737678534,1.86356887555419,0.4386883683863968,4.826154736022355
strasberg,8,10,0.25735638737678534,0.425507313013077,3.0410480132830617,0.7986129005632818,6.667157965444886
strasberg,9,10,0.425507313013077,0.8039887547492981,10.183471324534548,1.8528990208387381,17.942937858697466
residual,0,10,0.0020291281398385763,0.014823480509221554,0.015776005913200494,0.0035531612180262086,0.03377268963753472
residual,1,10,0.014823480509221554,0.02183837965130806,0.017360848068243707,0.002898359694239063,0.03811279738680795
residual,2,10,0.02183837965130806,0.032758226245641724,0.02585921956396574,0.005653963857099484,0.07063196078452436
residual,3,10,0.032758226245641724,0.0483371302485466,0.04051790167728323,0.007219249441083532,0.09169049517691173
residual,4,10,0.0483371302485466,0.07120008021593094,0.0703372611000993,0.011492891050988255,0.141062151075052
residual,5,10,0.07120008021593094,0.1073639571666718,0.05297711598114757,0.008103827596247367,0.08755074122901496
residual,6,10,0.1073639571666718,0.155589708685875,0.07929527606284187,0.01969173529667179,0.1925231078853249
residual,7,10,0.155589708685875,0.25735638737678534,0.17226987434271032,0.0512270927047374,0.4832268981676639
residual,8,10,0.25735638737678534,0.425507313013077,0.2138133771804993,0.05148246724519833,0.5300645110475508
residual,9,10,0.425507313013077,0.8039887547492981,0.9610455731387759,0.31571855590680586,3.3931836480991184
direct,0,10,0.0020291281398385763,0.014823480509221554,0.028611076178272278,0.006377735301693895,0.05947448506833749
direct,1,10,0.014823480509221554,0.02183837965130806,0.0196395811153231,0.0032679394946741928,0.03662769448724116
direct,2,10,0.02183837965130806,0.032758226245641724,0.021907474498684333,0.004565816582135592,0.04467843795575392
direct,3,10,0.032758226245641724,0.0483371302485466,0.0210103795943486,0.00515272037061613,0.0490500647417129
direct,4,10,0.0483371302485466,0.07120008021593094,0.040188830303145975,0.006818019826763522,0.07302281880308419
direct,5,10,0.07120008021593094,0.1073639571666718,0.05399324856012573,0.009514593022373096,0.09095086789265872
direct,6,10,0.1073639571666718,0.155589708685875,0.05287430516970013,0.011984104698520138,0.1147768304373474
direct,7,10,0.155589708685875,0.25735638737678534,0.09252274467372057,0.026807167597857267,0.3191059406548098
direct,8,10,0.25735638737678534,0.425507313013077,0.23230146954176994,0.07046181995354656,0.5948517632843833
direct,9,10,0.425507313013077,0.8039887547492981,0.8856342903907028,0.30056625327262554,3.263827192220066
