series,bin,n,scalar_lo,scalar_hi,mape_pct,sem_ape_pct,max_ape_pct
minnaert,0,10,0.05898188054561615,0.18816114962100983,1.2711545960692905,0.11611262628199276,1.9151892500112608
minnaert,1,10,0.18816114962100983,0.24968181550502777,1.6971553865289952,0.15835275525789722,2.3456973352542083
minnaert,2,10,0.24968181550502777,0.29199404120445255,2.0883548403071908,0.2614904905216718,3.1455870403015553
minnaert,3,10,0.29199404120445255,0.33528809547424315,2.4746318845243462,0.2464501580268191,3.451180878080102
minnaert,4,10,0.33528809547424315,0.38021090626716614,2.7263332591506106,0.3502705957998671,4.247774949749647
minnaert,5,10,0.38021090626716614,0.4342126190662384,3.872808296284218,0.39945243952541193,6.157118634875669
minnaert,6,10,0.4342126190662384,0.5064713597297671,5.15550712945313,0.6664994315201435,7.923123465745556
minnaert,7,10,0.5064713597297671,0.6270734548568727,6.993076036136182,1.0081257757180926,11.509664167246235
minnaert,8,10,0.6270734548568727,0.7503301024436951,11.004370627017423,0.8923125811480819,14.784238613387778
minnaert,9,10,0.7503301024436951,0.9724324941635132,15.992575865522856,1.8452578026104005,24.9702740300792
strasberg,0,10,0.05898188054561615,0.18816114962100983,0.09081434983372581,0.024139791833609987,0.22967741431680933
strasberg,1,10,0.18816114962100983,0.24968181550502777,0.18163524012672627,0.035467627168110104,0.4148123761642876
strasberg,2,10,0.24968181550502777,0.29199404120445255,0.14636623033513102,0.028370930413612327,0.2647999220937317
strasberg,3,10,0.29199404120445255,0.33528809547424315,0.2837958559069938,0.07123670209737772,0.8421117061681965
strasberg,4,10,0.33528809547424315,0.38021090626716614,0.44230639644554737,0.07500616825933427,0.8747926268020734
strasberg,5,10,0.38021090626716614,0.4342126190662384,0.5226602888887026,0.1339923817412795,1.5324570341155488
strasberg,6,10,0.4342126190662384,0.5064713597297671,0.7557495521246038,0.25261656604500027,2.84177920653454
strasberg,7,10,0.5064713597297671,0.6270734548568727,1.2776754992674004,0.3342069933340722,3.2164701762691
strasberg,8,10,0.6270734548568727,0.7503301024436951,3.2479111357740025,0.74795818012765,7.440898151111296
strasberg,9,10,0.7503301024436951,0.9724324941635132,9.368953499413674,1.901002725331363,18.620611687694012
residual,0,10,0.05898188054561615,0.18816114962100983,0.01721413082302395,0.005330654402301146,0.045936919632427284
residual,1,10,0.18816114962100983,0.24968181550502777,0.03786391698686554,0.007862966164131303,0.07473046777715028
residual,2,10,0.24968181550502777,0.29199404120445255,0.0385690876497465,0.0102082915573207,0.10274682926908363
residual,3,10,0.29199404120445255,0.33528809547424315,0.0553254328539887,0.010092206434254507,0.09514503011533874
residual,4,10,0.33528809547424315,0.38021090626716614,0.03738337966519929,0.008198705230767855,0.08497042489051791
residual,5,10,0.38021090626716614,0.4342126190662384,0.06256708270577718,0.015108647235687393,0.12386617372380801
residual,6,10,0.4342126190662384,0.5064713597297671,0.10382666881609873,0.020886788152398084,0.20953412166862523
residual,7,10,0.5064713597297671,0.6270734548568727,0.21974413871289422,0.0658146769370754,0.6392941435379629
residual,8,10,0.6270734548568727,0.7503301024436951,0.18973023809923326,0.04207627827263436,0.4658449780543929
residual,9,10,0.7503301024436951,0.9724324941635132,0.7285731100713412,0.30112494634936343,3.3931836480991184
direct,0,10,0.05898188054561615,0.18816114962100983,0.026332910609121046,0.006385768457775294,0.06333566985564264
direct,1,10,0.18816114962100983,0.24968181550502777,0.030413698807231132,0.005313134399190153,0.061265346061727705
direct,2,10,0.24968181550502777,0.29199404120445255,0.03848595357451899,0.007014534960670284,0.0752542350082568
direct,3,10,0.29199404120445255,0.33528809547424315,0.030391720852472583,0.006249999364352472,0.055913795258413765
direct,4,10,0.33528809547424315,0.38021090626716614,0.05589699234496508,0.010840705476023572,0.10580713642398593
direct,5,10,0.38021090626716614,0.4342126190662384,0.03786636677818789,0.007995326936594379,0.07894856054854038
direct,6,10,0.4342126190662384,0.5064713597297671,0.058556815339968114,0.014107056313708188,0.13331350070590828
direct,7,10,0.5064713597297671,0.6270734548568727,0.06448036895578259,0.012948861972033909,0.13492758667783783
direct,8,10,0.6270734548568727,0.7503301024436951,0.20724768660876514,0.05468427186860297,0.5280489113385667
direct,9,10,0.7503301024436951,0.9724324941635132,0.847353166527796,0.291081251226726,3.263827192220066
