binned_on,grows_with_nonsphericity,mape_minnaert,mape_strasberg,mape_residual,mape_direct
i11_over_i00,True,8.26466354057143,4.926565938446472,0.34997234064587834,0.26376766203880236
i22_over_i00,True,7.505401233307508,4.642019303377157,0.34604167247846795,0.2559565612400505
non_sph_va,True,4.56409568388146,1.9258528550053566,0.18685532451723355,0.15964295108528115
non_sph_vm,True,4.493440875761106,1.751029629896307,0.16492524530287675,0.14486834000257934
non_sph_w,True,5.327596792099424,1.6317868048116508,0.14907971863841685,0.13970256803988085
eta_V,False,5.160249981245001,1.6954666290067053,0.16608595782798943,0.15597643316825496
eta_A,False,5.674742794706069,2.230993420558222,0.22164538135983747,0.1714845638702031
eta_M,True,5.670532187681694,1.8984242885487204,0.18323487906176605,0.16271841975023502
