series,label,in_default_figure,bin,n,mape_pct,sem_ape_pct,max_ape_pct
residual_retrained_8feat,"Residual, retrained on 10k (8 feat)",True,0,10,0.016917237295673272,0.002035751820692773,0.0249545613180588
residual_retrained_8feat,"Residual, retrained on 10k (8 feat)",True,1,10,0.014143116590656804,0.004245584945314241,0.045069029312559
residual_retrained_8feat,"Residual, retrained on 10k (8 feat)",True,2,10,0.02653441001307093,0.006287741654124983,0.0616873813124779
residual_retrained_8feat,"Residual, retrained on 10k (8 feat)",True,3,10,0.02452670938676833,0.00494152125612558,0.0442077449576987
residual_retrained_8feat,"Residual, retrained on 10k (8 feat)",True,4,10,0.08154928931486978,0.02829265563712624,0.3241516624156716
residual_retrained_8feat,"Residual, retrained on 10k (8 feat)",True,5,10,0.06064457151961623,0.016937483465255594,0.1848250357607089
residual_retrained_8feat,"Residual, retrained on 10k (8 feat)",True,6,10,0.09479189102166037,0.037831605148247,0.3881664324943371
residual_retrained_8feat,"Residual, retrained on 10k (8 feat)",True,7,10,0.20464292617093646,0.05599336656851706,0.6676644581082799
residual_retrained_8feat,"Residual, retrained on 10k (8 feat)",True,8,10,0.14903008740826765,0.02566248293853629,0.2808980587219468
residual_retrained_8feat,"Residual, retrained on 10k (8 feat)",True,9,10,0.4699746882433555,0.12103853571186321,1.1486613068571212
direct_retrained_8feat,"Direct, retrained on 10k (8 feat)",True,0,10,0.037175366911563826,0.005552492371312108,0.0652406747897746
direct_retrained_8feat,"Direct, retrained on 10k (8 feat)",True,1,10,0.0172827030865195,0.0038174256248298785,0.034946347581143
direct_retrained_8feat,"Direct, retrained on 10k (8 feat)",True,2,10,0.027579221233466806,0.0029410382999681575,0.0415292165429417
direct_retrained_8feat,"Direct, retrained on 10k (8 feat)",True,3,10,0.028175123444968708,0.006891373285493892,0.0689982878088607
direct_retrained_8feat,"Direct, retrained on 10k (8 feat)",True,4,10,0.046416000236943054,0.013912925492920034,0.1575159512497095
direct_retrained_8feat,"Direct, retrained on 10k (8 feat)",True,5,10,0.052761269390610696,0.010633799664575878,0.1282798783218398
direct_retrained_8feat,"Direct, retrained on 10k (8 feat)",True,6,10,0.06094857368878731,0.015690484591441293,0.161336730147117
direct_retrained_8feat,"Direct, retrained on 10k (8 feat)",True,7,10,0.13653799440499215,0.029997439010476076,0.264791923189096
direct_retrained_8feat,"Direct, retrained on 10k (8 feat)",True,8,10,0.2145571985236172,0.037876267506774926,0.4415984822220197
direct_retrained_8feat,"Direct, retrained on 10k (8 feat)",True,9,10,0.5001244524907731,0.1672845015438044,1.523019099666924
