bin,is_bin_thumbnail,mesh_id_10k,row_10k,source_10k,mesh_filename,mesh_id_archive,source_archive,non_sphericity,phi,non_sph_va,non_sph_vm,non_sph_w,eta_V,eta_A,eta_M,surface_area,volume,M,W_vertex,Phi_VM,V_hull,A_hull,M_hull,i00,i11,i22,f_gt,f_minnaert,f_strasberg,f_pred_residual,f_pred_direct,f_pred_minnaert_residual,ape_minnaert,ape_strasberg,ape_residual,ape_direct,ape_minnaert_residual
0,False,VOF/bubble.0056.40.obj,76,VOF,bubble.0056.40.obj,tim2016_6k/bubble.0056.40.obj,tim2016_6k,0.0019973576351399,0.99800264236486,0.0019973576351399,0.0020894896900239,0.0857737355709401,0.9999248874302636,0.99999346846243,1.000002278229043,4.845654366796176,0.9999999999999994,7.811877015926019,13.74536162796302,0.997910510309976,1.0000751182120575,4.845686016576446,7.811859218721468,0.15056,0.153426,0.158346,5.293662844,5.255093770093692,5.293029287573975,5.29667989741431,5.301248111329599,5.301248604280646,0.7285895426835309,0.011968205091546573,0.05699368288499436,0.1432895813944111,0.1432988934919439
0,False,VOF/bubble.0328.18.obj,868,VOF,bubble.0328.18.obj,tim2016_6k/bubble.0328.18.obj,tim2016_6k,0.0043349157911831,0.9956650842088168,0.0043349157911831,0.0044626179921579,0.1631916090691563,0.999853093520216,0.9999775923571004,1.000006313618876,4.85703068104694,1.0,7.830498703844857,15.017022714579465,0.995537382007842,1.0001469280644688,4.857139518094774,7.830449265372567,0.150838,0.153253,0.158649,5.295193656,5.255093770093691,5.29304548381668,5.296812439455896,5.302180331366146,5.302180784899552,0.757288373407693,0.0405683403266278,0.0305708074351755,0.13194371764343288,0.13195228264475012
0,False,VOF/bubble.0177.45.obj,1540,VOF,bubble.0177.45.obj,tim2016_6k/bubble.0177.45.obj,tim2016_6k,0.0053410997951373,0.9946589002048628,0.0053410997951373,0.0053724586967791,0.0613611511133924,0.9999550664529804,0.9999975146339412,1.0000011709123713,4.861943990098893,0.9999999999999996,7.8376616931673775,13.387865449278092,0.9946275413032208,1.0000449355661336,4.861956073839498,7.837652515963084,0.144359,0.153509,0.16808,5.298113742,5.255093770093691,5.296961068357726,5.300800033363808,5.304408843312978,5.304409198234683,0.8119865673187608,0.02175630230691606,0.05070278772071669,0.11881778345139515,0.11882448247149464
0,False,VOF/bubble.0204.59.obj,2407,VOF,bubble.0204.59.obj,tim2016_6k/bubble.0204.59.obj,tim2016_6k,0.0073270193121823,0.9926729806878176,0.0073270193121823,0.0073331856521248,0.1239546020422044,0.9998903105545588,0.9999866566976796,1.0000036040040745,4.871670687257535,0.9999999999999996,7.853142733055639,14.34442854634409,0.9926668143478752,1.000109701478535,4.871735692299703,7.853114430399236,0.142988,0.153845,0.170454,5.300014951,5.255093770093691,5.298455831949909,5.302770946449677,5.305783084839757,5.305783597978085,0.8475670601237335,0.029417257583335913,0.05199976745644795,0.1088324069476331,0.10884208877555489
0,True,VOF/bubble.0253.46.obj,3911,VOF,bubble.0253.46.obj,tim2016_6k/bubble.0253.46.obj,tim2016_6k,0.0079302419453484,0.9920697580546516,0.0079302419453484,0.0079486706403582,0.2431439500887061,0.9995891754326012,0.999898536155986,1.000022752339264,4.874632880184016,0.9999999999999996,7.858014952183423,16.603382658871517,0.9920513293596418,1.0004109934135896,4.875127529363205,7.857836168029047,0.150649,0.151576,0.161052,5.297342874,5.255093770093691,5.2935860429148205,5.298135674277169,5.303249900232102,5.30325039336929,0.7975527526011774,0.07091916031371912,0.014965998917302844,0.11150922967616038,0.11151853881849272
0,False,VOF/bubble.0284.21.obj,5029,VOF,bubble.0284.21.obj,tim2016_6k/bubble.0284.21.obj,tim2016_6k,0.0089046971731528,0.9910953028268472,0.0089046971731528,0.0090390425344374,0.1011620088557487,0.9998947444789746,0.9999888344288522,1.0000027378492693,4.879425670019842,0.9999999999999996,7.866661265221859,13.980684770969413,0.9909609574655626,1.0001052666009158,4.879480152202645,7.866639727548029,0.137832,0.160826,0.170938,5.302533625,5.255093770093691,5.300499814185637,5.30491742979507,5.307618913399854,5.307619545350271,0.8946639146736027,0.038355453415201475,0.04495595810711356,0.09590299203155829,0.09591490992706132
0,False,VOF/bubble.0296.80.obj,5543,VOF,bubble.0296.80.obj,tim2016_6k/bubble.0296.80.obj,tim2016_6k,0.0099179601014999,0.9900820398985,0.0099179601014999,0.0104983961070012,0.260568340688832,0.9992655032339478,0.9997751895147268,1.000036861900788,4.884419338164316,1.0,7.878263308287161,16.994634265546082,0.9895016038929988,1.0007350366480932,4.885517653758869,7.877972911231296,0.141811,0.159889,0.164273,5.300187175,5.255093770093691,5.29647472332529,5.301802244606284,5.30483948079805,5.304839756700296,0.8507889140030037,0.0700437843444529,0.030471935291312355,0.08777625477066467,0.08778146028957992
0,False,VOF/bubble.0203.46.obj,2371,VOF,bubble.0203.46.obj,tim2016_6k/bubble.0203.46.obj,tim2016_6k,0.0105957472935236,0.9894042527064764,0.0105957472935236,0.0103047374734863,0.1135925089184336,0.9999058512787716,0.999991150046502,1.0000027720084723,4.887765388940653,0.9999999999999996,7.876721729010669,14.176742345697107,0.9896952625265136,1.0000941575860445,4.887808645819876,7.876699894731827,0.141147,0.153215,0.17684,5.304525783,5.255093770093691,5.303040549742488,5.307687550112899,5.308993353695271,5.308993867144072,0.931883733409865,0.027999359759388862,0.05960508520915884,0.0842218678546007,0.08423154730233674
0,False,VOF/bubble.0176.35.obj,1497,VOF,bubble.0176.35.obj,tim2016_6k/bubble.0176.35.obj,tim2016_6k,0.0134364181161888,0.9865635818838112,0.0134364181161888,0.0133123127411649,0.1365291144168007,0.999850269622086,0.9999818647356782,1.000004521185565,4.90183902066937,0.9999999999999996,7.900731183844723,14.55332290198955,0.986687687258835,1.000149752800457,4.901927918427857,7.90069546333444,0.141088,0.153827,0.177498,5.307307234,5.255093770093691,5.303337201105372,5.308534018135701,5.311722406276673,5.311722722112315,0.9838033037133382,0.07480314818019584,0.0231150012918436,0.08319044068880924,0.08319639164714193
0,False,VOF/bubble.0301.47.obj,5727,VOF,bubble.0301.47.obj,tim2016_6k/bubble.0301.47.obj,tim2016_6k,0.0135275888899387,0.9864724111100612,0.0135275888899387,0.0137752168293507,0.3183548491453095,0.9991970462119548,0.9997222464819469,1.000059159608608,4.902292053568496,1.0,7.904439548131517,18.435355402444586,0.9862247831706492,1.0008035990409392,4.903654060735182,7.903971952244371,0.147507,0.151699,0.166355,5.302154428,5.255093770093691,5.295630085551138,5.303234757346166,5.306364382923606,5.306364619369664,0.8875761456095616,0.1230507812901052,0.020375290098327344,0.07940083565605113,0.07940529508969268
