series,bin,n,scalar_lo,scalar_hi,mape_pct,sem_ape_pct,max_ape_pct
minnaert,0,10,0.0019468637183308601,0.014535953663289547,0.8752458731893815,0.02892219567196264,1.0141684852255985
minnaert,1,10,0.014535953663289547,0.021213975548744202,1.0294592760239079,0.023397300820325505,1.1543195526628087
minnaert,2,10,0.021213975548744202,0.03144632354378701,1.2606940164019091,0.03266309359446858,1.4338533979060948
minnaert,3,10,0.03144632354378701,0.04564637169241905,1.5165682639424012,0.06836037234327522,1.8239943969394017
minnaert,4,10,0.04564637169241905,0.0654749646782875,2.039341435503539,0.08896062493103263,2.5468756557001027
minnaert,5,10,0.0654749646782875,0.09336545616388321,2.8623123112439233,0.14676718520892837,3.683910164308346
minnaert,6,10,0.09336545616388321,0.13256037235260015,3.8876856128919948,0.23578379750634526,5.219271702756216
minnaert,7,10,0.13256037235260015,0.19472767710685737,5.50528184299077,0.37742681087442864,7.315891498431813
minnaert,8,10,0.19472767710685737,0.3097801089286805,10.844709145316802,0.7075471007027107,14.497289312917733
minnaert,9,10,0.3097801089286805,0.5767428874969482,15.819659061309972,1.6189734124134265,24.9702740300792
strasberg,0,10,0.0019468637183308601,0.014535953663289547,0.06026989252526208,0.010599710556470965,0.11352578836685712
strasberg,1,10,0.014535953663289547,0.021213975548744202,0.12158839042851269,0.015478512359361098,0.21049327160000791
strasberg,2,10,0.021213975548744202,0.03144632354378701,0.1882632987036606,0.0440291222892395,0.38683017932824265
strasberg,3,10,0.03144632354378701,0.04564637169241905,0.26846977077919043,0.053383645654071776,0.5488947810215041
strasberg,4,10,0.04564637169241905,0.0654749646782875,0.48083956187594135,0.1493870834310993,1.6492806694263353
strasberg,5,10,0.0654749646782875,0.09336545616388321,0.8808551728188128,0.20150613791919628,2.0195900997296583
strasberg,6,10,0.09336545616388321,0.13256037235260015,1.3412286063456167,0.34481968245444694,3.793051698245325
strasberg,7,10,0.13256037235260015,0.19472767710685737,2.04606644895962,0.5055523684669146,5.507094060146134
strasberg,8,10,0.19472767710685737,0.3097801089286805,4.658932617271305,1.1369256809513024,9.30246213238693
strasberg,9,10,0.3097801089286805,0.5767428874969482,9.21201479034564,1.6424720132378827,17.717371854835733
residual,0,10,0.0019468637183308601,0.014535953663289547,0.02048352737306993,0.003968751081524791,0.039104125581795345
residual,1,10,0.014535953663289547,0.021213975548744202,0.016945379061055393,0.0032636856261104687,0.042078635081484315
residual,2,10,0.021213975548744202,0.03144632354378701,0.03326075938116267,0.0087319454644029,0.08100307142462877
residual,3,10,0.03144632354378701,0.04564637169241905,0.03251113517747531,0.009120287877716503,0.09169049517691173
residual,4,10,0.04564637169241905,0.0654749646782875,0.05365114405354138,0.012208119512143206,0.12427555631160701
residual,5,10,0.0654749646782875,0.09336545616388321,0.11656801081845998,0.041943993667917644,0.4100513931732452
residual,6,10,0.09336545616388321,0.13256037235260015,0.10439948281045516,0.02924442736583335,0.33704935117813445
residual,7,10,0.13256037235260015,0.19472767710685737,0.1626768974749822,0.03981759801707962,0.4054282908808919
residual,8,10,0.19472767710685737,0.3097801089286805,0.4051299410406955,0.11474810015939757,1.0164477686929079
residual,9,10,0.3097801089286805,0.5767428874969482,0.9229269679814376,0.32041978176309244,3.3931836480991184
direct,0,10,0.0019468637183308601,0.014535953663289547,0.03334079472106388,0.005645885055881169,0.05982056407114754
direct,1,10,0.014535953663289547,0.021213975548744202,0.016015593960222674,0.002701537490848731,0.029072637175270814
direct,2,10,0.021213975548744202,0.03144632354378701,0.02497532824648002,0.00587165781687084,0.05515090780970479
direct,3,10,0.03144632354378701,0.04564637169241905,0.02077715356261716,0.004958138118596943,0.0490500647417129
direct,4,10,0.04564637169241905,0.0654749646782875,0.0354143171230055,0.009801866091947308,0.0949113283601505
direct,5,10,0.0654749646782875,0.09336545616388321,0.09933434556208064,0.029956178094565477,0.3191059406548098
direct,6,10,0.09336545616388321,0.13256037235260015,0.07338723167443743,0.027469956506101203,0.2729337190167901
direct,7,10,0.13256037235260015,0.19472767710685737,0.18882306656849399,0.07855842300131854,0.695697321215086
direct,8,10,0.19472767710685737,0.3097801089286805,0.34937075137314977,0.11448623901194943,1.1997384728803024
direct,9,10,0.3097801089286805,0.5767428874969482,0.7549909280612601,0.31554927999071536,3.263827192220066
