bub_id,n_solves,total_bem_s,total_assemble_s,total_solve_s,mean_f_unit_hz,median_f_unit_hz,min_f_unit_hz,max_f_unit_hz
33059,1,0.6417,0.6223,0.0194,5.3367,5.3367,5.3367,5.3367
33066,1,0.4896,0.4718,0.0177,5.3448,5.3448,5.3448,5.3448
33080,1,0.5065,0.4886,0.0179,5.3423,5.3423,5.3423,5.3423
33137,10,7.5325,7.3464,0.1861,5.3598,5.3427,5.3305,5.4395
33163,1,0.6972,0.6792,0.018,5.3831,5.3831,5.3831,5.3831
33165,1,1.0794,1.0589,0.0205,5.675,5.675,5.675,5.675
33170,1,0.9497,0.9317,0.018,5.3519,5.3519,5.3519,5.3519
33171,1,0.9017,0.8784,0.0233,5.6562,5.6562,5.6562,5.6562
33177,1,0.4833,0.4638,0.0195,5.3396,5.3396,5.3396,5.3396
33178,1,0.572,0.5553,0.0167,5.3294,5.3294,5.3294,5.3294
33182,1,0.8549,0.8356,0.0193,5.3213,5.3213,5.3213,5.3213
33183,1,0.545,0.5283,0.0167,5.3412,5.3412,5.3412,5.3412
33198,3,3.3058,3.2359,0.0698,5.3654,5.3541,5.3261,5.4159
33264,1,0.7373,0.717,0.0204,5.3708,5.3708,5.3708,5.3708
33276,359,211.0393,203.2519,7.7874,5.3516,5.3401,4.6197,5.851
33285,4,1.7336,1.6549,0.0787,5.334,5.3343,5.3228,5.3445
33290,2,1.0577,1.0151,0.0426,5.4973,5.4973,5.3404,5.6541
33291,93,39.9848,38.0664,1.9184,5.3732,5.3408,5.3086,5.8132
33317,1,0.3959,0.375,0.021,5.3391,5.3391,5.3391,5.3391
33321,1,0.2998,0.2854,0.0144,5.4353,5.4353,5.4353,5.4353
33323,1,0.5008,0.4792,0.0216,5.353,5.353,5.353,5.353
33327,1,0.3227,0.3061,0.0166,5.3332,5.3332,5.3332,5.3332
33362,14,7.302,6.9918,0.3102,5.3711,5.3645,5.3169,5.5854
33378,1,0.6798,0.6569,0.023,5.391,5.391,5.391,5.391
33424,5,8.5021,8.1507,0.3514,5.3995,5.3318,5.3275,5.6641
33441,1,0.7679,0.7449,0.023,5.344,5.344,5.344,5.344
33448,1,0.4027,0.3847,0.0179,5.351,5.351,5.351,5.351
33449,1,0.8328,0.8022,0.0306,5.3318,5.3318,5.3318,5.3318
33450,1,0.5572,0.5332,0.024,5.3605,5.3605,5.3605,5.3605
33501,2,0.9439,0.9025,0.0414,5.3307,5.3307,5.3302,5.3313
33506,1,5.2487,5.1514,0.0973,5.6793,5.6793,5.6793,5.6793
33534,1,0.3435,0.3278,0.0158,5.3773,5.3773,5.3773,5.3773
33538,1,0.4408,0.4181,0.0228,5.39,5.39,5.39,5.39
33571,1,0.7636,0.739,0.0246,5.3237,5.3237,5.3237,5.3237
33603,1,0.5118,0.4958,0.0159,5.4015,5.4015,5.4015,5.4015
33604,1,8.1357,7.9929,0.1428,6.0241,6.0241,6.0241,6.0241
33605,17,12.5744,12.2187,0.3557,5.4172,5.3698,5.3155,5.8153
33606,1,5.5302,5.447,0.0831,5.8318,5.8318,5.8318,5.8318
33607,2,0.9802,0.9436,0.0366,5.3385,5.3385,5.3349,5.3421
33609,119,102.3942,99.3879,3.0063,5.3926,5.3438,5.307,5.8351
33610,16,18.9187,18.4971,0.4216,5.436,5.3744,5.3244,5.7591
33613,1,1.9122,1.8787,0.0335,5.7109,5.7109,5.7109,5.7109
33614,1,3.4174,3.3496,0.0679,5.8354,5.8354,5.8354,5.8354
33620,1,0.7306,0.7067,0.0239,5.3294,5.3294,5.3294,5.3294
33654,1,0.3432,0.3268,0.0164,5.3342,5.3342,5.3342,5.3342
33720,1,0.7728,0.7468,0.026,5.338,5.338,5.338,5.338
33724,1,0.9237,0.8974,0.0263,5.3314,5.3314,5.3314,5.3314
33735,1,1.0036,0.9783,0.0253,5.3228,5.3228,5.3228,5.3228
33736,1,0.3875,0.3699,0.0176,5.3222,5.3222,5.3222,5.3222
33737,1,0.5537,0.5319,0.0219,5.3403,5.3403,5.3403,5.3403
33738,1,0.4362,0.4207,0.0154,5.3307,5.3307,5.3307,5.3307
33739,1,1.3756,1.3445,0.0311,5.3933,5.3933,5.3933,5.3933
33740,1,0.3798,0.3641,0.0157,5.3201,5.3201,5.3201,5.3201
33742,1,0.4789,0.4568,0.0222,5.6353,5.6353,5.6353,5.6353
33743,1,0.3342,0.3189,0.0153,5.3322,5.3322,5.3322,5.3322
33774,6,3.1211,2.9772,0.144,5.9165,5.9394,5.816,5.9685
33877,1,0.2251,0.2156,0.0095,5.3256,5.3256,5.3256,5.3256
33888,9,3.5273,3.3421,0.1852,5.4998,5.3392,5.3174,6.1436
33898,1,1.4746,1.4581,0.0166,5.6262,5.6262,5.6262,5.6262
33911,1,0.6885,0.6766,0.0119,5.3983,5.3983,5.3983,5.3983
33918,1,1.0793,1.0618,0.0175,5.3614,5.3614,5.3614,5.3614
33927,1,0.8928,0.8779,0.0149,5.3767,5.3767,5.3767,5.3767
33932,5,16.6037,16.4739,0.1298,5.7032,5.7119,5.6754,5.7182
33933,24,24.7737,24.3341,0.4396,5.372,5.3556,5.3233,5.5539
