bub_id,n_solves,total_bem_s,total_assemble_s,total_solve_s,mean_f_unit_hz,median_f_unit_hz,min_f_unit_hz,max_f_unit_hz
1,6,107.3629,104.1578,3.2052,5.9634,5.9523,5.7539,6.1978
71,1,81.2391,79.7774,1.4618,5.4283,5.4283,5.4283,5.4283
207,1,69.0879,67.5448,1.5431,5.5443,5.5443,5.5443,5.5443
258,1,2.2619,2.0564,0.2054,6.3587,6.3587,6.3587,6.3587
440,1,0.6827,0.52,0.1627,8.9396,8.9396,8.9396,8.9396
574,1,1.1698,1.0301,0.1396,8.2529,8.2529,8.2529,8.2529
575,1,8.8696,8.7827,0.0869,5.4344,5.4344,5.4344,5.4344
707,1,1.7768,1.6291,0.1476,6.2089,6.2089,6.2089,6.2089
715,1,0.9626,0.9406,0.0221,5.3205,5.3205,5.3205,5.3205
818,2,1.4233,1.2092,0.2141,6.0704,6.0704,5.3359,6.8049
819,108,84.1346,81.2476,2.887,5.453,5.3679,5.3148,6.5013
830,1,10.9809,10.7421,0.2388,5.9154,5.9154,5.9154,5.9154
832,1,4.6038,4.4606,0.1433,5.4342,5.4342,5.4342,5.4342
983,1,0.8888,0.8753,0.0135,5.3129,5.3129,5.3129,5.3129
986,1,18.5137,18.0939,0.4198,6.0292,6.0292,6.0292,6.0292
1044,1,5.4668,5.4323,0.0345,6.3538,6.3538,6.3538,6.3538
1109,1,54.4029,53.4398,0.9631,6.5314,6.5314,6.5314,6.5314
1131,1,5.038,4.877,0.161,6.3052,6.3052,6.3052,6.3052
1134,1,9.4419,9.3177,0.1242,5.4369,5.4369,5.4369,5.4369
1145,1,1.9508,1.8979,0.053,5.5109,5.5109,5.5109,5.5109
1254,1,0.264,0.2547,0.0094,5.3912,5.3912,5.3912,5.3912
1274,1,5.8324,5.7528,0.0796,5.4328,5.4328,5.4328,5.4328
1298,1,0.7947,0.7834,0.0113,5.4359,5.4359,5.4359,5.4359
1299,1,3.9055,3.8471,0.0584,6.3389,6.3389,6.3389,6.3389
1311,10,19.6466,19.2488,0.3978,5.6275,5.4455,5.3831,6.3525
1312,12,81.4554,80.0284,1.427,5.7799,5.826,5.3811,6.6135
1403,1,2.145,2.1014,0.0436,5.9451,5.9451,5.9451,5.9451
1412,1,1.072,1.0576,0.0143,5.834,5.834,5.834,5.834
1414,3,1.6915,1.6492,0.0423,5.4608,5.4395,5.4254,5.5174
1422,1,3.5709,3.4739,0.097,6.3414,6.3414,6.3414,6.3414
1427,1,0.7874,0.7341,0.0533,5.564,5.564,5.564,5.564
1430,1,2.9522,2.9283,0.0239,5.5172,5.5172,5.5172,5.5172
1507,1,1.0029,0.9572,0.0457,6.6597,6.6597,6.6597,6.6597
1550,1,0.2555,0.2453,0.0101,5.3192,5.3192,5.3192,5.3192
1568,1,1.0225,0.9932,0.0293,6.018,6.018,6.018,6.018
1569,1,1.3451,1.3221,0.023,6.3518,6.3518,6.3518,6.3518
1573,1,0.7833,0.7706,0.0128,5.7406,5.7406,5.7406,5.7406
1708,1,6.1264,6.0635,0.0629,5.9342,5.9342,5.9342,5.9342
1729,1,0.3859,0.3567,0.0292,5.7562,5.7562,5.7562,5.7562
1741,1,3.16,3.0754,0.0846,6.3367,6.3367,6.3367,6.3367
1742,1,1.3384,1.3012,0.0371,5.8321,5.8321,5.8321,5.8321
1843,1,1.662,1.4355,0.2265,6.4424,6.4424,6.4424,6.4424
1865,4,15.3945,15.1894,0.2051,5.623,5.6368,5.3592,5.8594
1869,4,2.9856,2.8422,0.1434,5.5436,5.5576,5.337,5.7221
1878,1,5.5342,5.4633,0.0709,6.1999,6.1999,6.1999,6.1999
1898,1,0.7229,0.7006,0.0223,5.5949,5.5949,5.5949,5.5949
1899,1,0.5626,0.5427,0.0199,5.3854,5.3854,5.3854,5.3854
2023,1,0.4072,0.3856,0.0216,5.4635,5.4635,5.4635,5.4635
2035,2,4.8124,4.7097,0.1027,5.6012,5.6012,5.3281,5.8743
2045,1,0.923,0.8655,0.0575,5.7685,5.7685,5.7685,5.7685
2182,1,8.1996,6.9994,1.2002,5.5067,5.5067,5.5067,5.5067
2184,1,0.4953,0.4749,0.0204,5.3704,5.3704,5.3704,5.3704
2185,1,0.4713,0.4476,0.0237,5.4504,5.4504,5.4504,5.4504
2345,1,3.2762,3.2257,0.0505,6.5512,6.5512,6.5512,6.5512
2348,1,0.3996,0.3801,0.0195,5.5319,5.5319,5.5319,5.5319
2349,1,1.4772,1.4597,0.0175,5.6871,5.6871,5.6871,5.6871
2352,1,6.5827,6.5071,0.0756,6.3563,6.3563,6.3563,6.3563
2538,2,3.4051,3.3069,0.0983,5.7193,5.7193,5.66,5.7786
2543,1,30.1218,29.3976,0.7242,5.7641,5.7641,5.7641,5.7641
2568,5,6.8209,6.5417,0.2792,5.664,5.6032,5.3296,6.0125
2626,1,0.524,0.5007,0.0233,5.8599,5.8599,5.8599,5.8599
2691,1,31.3316,30.6041,0.7275,5.8533,5.8533,5.8533,5.8533
2705,5,18.1489,17.8845,0.2643,5.5066,5.3493,5.3393,5.9125
2713,9,26.6845,26.3823,0.3022,5.7009,5.5669,5.3425,6.1598
2736,1,1.0067,0.9852,0.0215,5.5616,5.5616,5.5616,5.5616
2741,1,3.0809,3.0345,0.0464,6.6169,6.6169,6.6169,6.6169
2742,1,2.2599,2.2298,0.0302,6.2081,6.2081,6.2081,6.2081
2824,5,11.6173,11.4354,0.1818,5.5117,5.3556,5.3286,5.8778
2917,1,2.8202,2.7936,0.0266,5.5282,5.5282,5.5282,5.5282
2918,1,0.5151,0.4983,0.0168,5.3349,5.3349,5.3349,5.3349
2925,4,40.395,39.343,1.0519,5.7303,5.7407,5.4694,5.9703
2929,1,8.9224,8.7211,0.2013,5.6226,5.6226,5.6226,5.6226
2935,1,0.4209,0.4032,0.0177,5.3618,5.3618,5.3618,5.3618
2936,1,0.6011,0.5771,0.024,5.4883,5.4883,5.4883,5.4883
2937,1,0.4813,0.4616,0.0197,5.4537,5.4537,5.4537,5.4537
3121,1,3.1978,3.1086,0.0891,5.6043,5.6043,5.6043,5.6043
3129,6,8.9675,8.8146,0.153,5.4446,5.4005,5.3425,5.7685
3139,1,1.3915,1.3645,0.0271,5.7483,5.7483,5.7483,5.7483
3148,1,1.0688,1.0567,0.012,5.5498,5.5498,5.5498,5.5498
3149,1,23.1956,22.7268,0.4689,5.7844,5.7844,5.7844,5.7844
3150,1,0.7571,0.7483,0.0088,5.3515,5.3515,5.3515,5.3515
3154,1,34.4488,33.6997,0.7491,6.5195,6.5195,6.5195,6.5195
3236,2,36.7598,36.1444,0.6154,5.9458,5.9458,5.8819,6.0098
3240,1,4.6856,4.3859,0.2997,6.5763,6.5763,6.5763,6.5763
3303,1,0.7406,0.7186,0.022,5.4393,5.4393,5.4393,5.4393
3326,10,9.1609,8.9526,0.2083,5.5403,5.3982,5.349,5.9803
3328,1,0.5247,0.503,0.0217,5.4192,5.4192,5.4192,5.4192
3338,1,0.3487,0.3311,0.0176,5.3977,5.3977,5.3977,5.3977
3381,1,0.3931,0.3041,0.0889,6.5054,6.5054,6.5054,6.5054
3385,1,4.1208,4.0087,0.1121,5.9552,5.9552,5.9552,5.9552
3386,1,1.1519,1.1171,0.0348,5.4225,5.4225,5.4225,5.4225
3387,1,0.4665,0.4393,0.0272,5.593,5.593,5.593,5.593
3389,1,15.231,14.69,0.541,5.5748,5.5748,5.5748,5.5748
3396,1,0.7164,0.7053,0.0111,5.3385,5.3385,5.3385,5.3385
3481,4,7.5789,7.2996,0.2793,5.7642,5.7691,5.3562,6.1622
3482,6,1.9277,1.8021,0.1256,5.498,5.452,5.3414,5.836
3519,4,1.2343,1.1566,0.0777,5.3774,5.3786,5.3445,5.4078
3520,2,1.7666,1.7286,0.038,5.5741,5.5741,5.3767,5.7715
3620,1,0.3952,0.3714,0.0238,5.5115,5.5115,5.5115,5.5115
3636,1,0.233,0.2172,0.0158,5.3415,5.3415,5.3415,5.3415
3641,1,25.6636,25.0727,0.5909,5.9873,5.9873,5.9873,5.9873
3689,1,0.4229,0.4029,0.02,5.3672,5.3672,5.3672,5.3672
3690,19,29.1171,28.2327,0.8844,5.6959,5.5516,5.341,6.2843
3730,1,0.2919,0.2727,0.0193,5.3297,5.3297,5.3297,5.3297
3734,1,5.5824,5.5366,0.0459,5.6148,5.6148,5.6148,5.6148
3749,1,0.4012,0.3822,0.019,5.3333,5.3333,5.3333,5.3333
3752,1,0.9422,0.9171,0.025,5.4514,5.4514,5.4514,5.4514
3753,1,0.4549,0.4375,0.0174,5.3688,5.3688,5.3688,5.3688
3754,1,0.4639,0.4403,0.0236,5.3536,5.3536,5.3536,5.3536
3755,1,0.4285,0.4067,0.0219,5.3391,5.3391,5.3391,5.3391
3757,1,0.3444,0.3274,0.017,5.3313,5.3313,5.3313,5.3313
3799,6,4.9459,4.8099,0.136,5.3717,5.3383,5.3264,5.5318
3933,1,0.3448,0.3231,0.0217,5.4645,5.4645,5.4645,5.4645
3947,1,14.8621,14.1916,0.6705,6.1322,6.1322,6.1322,6.1322
3984,1,0.6949,0.6771,0.0178,5.4021,5.4021,5.4021,5.4021
4020,1,0.6586,0.6341,0.0245,5.5686,5.5686,5.5686,5.5686
4028,1,2.6841,2.6325,0.0516,5.6666,5.6666,5.6666,5.6666
4052,1,1.9211,1.8744,0.0467,5.7042,5.7042,5.7042,5.7042
4060,1,0.7749,0.7558,0.0191,5.3692,5.3692,5.3692,5.3692
4062,1,1.215,1.1955,0.0195,5.4395,5.4395,5.4395,5.4395
4072,1,0.3064,0.2917,0.0147,5.3596,5.3596,5.3596,5.3596
4075,1,0.7114,0.6848,0.0266,5.7664,5.7664,5.7664,5.7664
4076,1,0.3228,0.3027,0.0201,5.3728,5.3728,5.3728,5.3728
4078,3,6.6645,6.4277,0.2369,5.7842,5.9527,5.3236,6.0764
4079,3,5.8515,5.5968,0.2547,5.5855,5.3648,5.3444,6.0473
4080,1,35.8843,35.0036,0.8806,6.229,6.229,6.229,6.229
4082,1,1.0012,0.94,0.0613,7.9427,7.9427,7.9427,7.9427
4084,1,2.289,2.2592,0.0298,5.9944,5.9944,5.9944,5.9944
4090,1,0.3379,0.3185,0.0193,5.3415,5.3415,5.3415,5.3415
4096,5,6.3277,6.2584,0.0693,5.4248,5.397,5.3314,5.6318
4097,1,0.7942,0.7814,0.0128,5.4273,5.4273,5.4273,5.4273
4199,1,0.3222,0.3024,0.0198,5.3547,5.3547,5.3547,5.3547
4217,1,0.4125,0.39,0.0225,5.417,5.417,5.417,5.417
4218,1,1.7652,1.6965,0.0687,5.9139,5.9139,5.9139,5.9139
4223,2,0.8886,0.8345,0.0541,5.5916,5.5916,5.4344,5.7489
4227,9,4.9142,4.7039,0.2103,5.4782,5.4275,5.3303,5.7802
4238,1,0.2541,0.2388,0.0153,5.3476,5.3476,5.3476,5.3476
4263,1,1.3452,1.1898,0.1554,5.8493,5.8493,5.8493,5.8493
4281,1,0.3079,0.2857,0.0222,5.8417,5.8417,5.8417,5.8417
4282,1,0.341,0.3175,0.0235,5.3813,5.3813,5.3813,5.3813
4297,1,0.36,0.2761,0.0839,5.6041,5.6041,5.6041,5.6041
4307,1,0.6333,0.6032,0.0301,5.4805,5.4805,5.4805,5.4805
4308,1,0.4928,0.4766,0.0162,5.3535,5.3535,5.3535,5.3535
4309,1,8.3485,8.1511,0.1974,6.0697,6.0697,6.0697,6.0697
4310,1,0.3724,0.3543,0.0181,5.3369,5.3369,5.3369,5.3369
4311,1,1.4215,1.3892,0.0322,5.9753,5.9753,5.9753,5.9753
4312,1,21.3354,20.6528,0.6826,6.2634,6.2634,6.2634,6.2634
4313,1,1.7395,1.6988,0.0407,5.5359,5.5359,5.5359,5.5359
4330,1,0.4695,0.446,0.0235,5.3651,5.3651,5.3651,5.3651
4437,1,0.565,0.5485,0.0165,5.4669,5.4669,5.4669,5.4669
4447,7,2.9127,2.7753,0.1374,5.3865,5.3359,5.3263,5.5862
4469,1,0.4012,0.3765,0.0247,5.4709,5.4709,5.4709,5.4709
4476,1,1.2677,1.2516,0.0161,5.5436,5.5436,5.5436,5.5436
4481,5,14.2012,13.8613,0.3399,5.6309,5.4457,5.3534,6.1541
4484,2,6.3992,6.307,0.0922,5.9555,5.9555,5.9282,5.9828
4488,1,4.2743,4.2013,0.073,5.8567,5.8567,5.8567,5.8567
4520,1,0.4451,0.4278,0.0173,5.3703,5.3703,5.3703,5.3703
4523,1,0.657,0.6379,0.0191,5.341,5.341,5.341,5.341
4528,1,0.7202,0.7003,0.0198,5.3855,5.3855,5.3855,5.3855
4529,1,0.8556,0.8344,0.0213,5.879,5.879,5.879,5.879
4538,1,1.1708,1.1433,0.0276,5.7497,5.7497,5.7497,5.7497
4540,1,0.3053,0.2911,0.0142,5.3452,5.3452,5.3452,5.3452
4545,1,0.5496,0.5232,0.0264,5.473,5.473,5.473,5.473
4546,1,4.9656,4.7243,0.2413,5.6281,5.6281,5.6281,5.6281
4547,1,23.8407,23.1502,0.6905,5.9406,5.9406,5.9406,5.9406
4548,1,1.1417,1.0319,0.1099,5.6845,5.6845,5.6845,5.6845
4549,1,0.6443,0.6183,0.026,5.4967,5.4967,5.4967,5.4967
4550,1,1.076,0.8681,0.2079,5.8795,5.8795,5.8795,5.8795
4553,5,7.0015,6.8799,0.1216,5.8375,5.9128,5.3394,6.4687
4555,1,0.532,0.5159,0.0161,5.322,5.322,5.322,5.322
4561,3,5.7878,5.5404,0.2475,5.7164,5.5533,5.3933,6.2026
4595,3,3.1888,3.1002,0.0886,5.6266,5.6339,5.4891,5.7568
4606,5,1.9889,1.8952,0.0938,5.3471,5.3494,5.3373,5.3593
4621,1,0.3917,0.3703,0.0214,5.3806,5.3806,5.3806,5.3806
4638,1,0.5649,0.5496,0.0154,5.3553,5.3553,5.3553,5.3553
4682,2,5.0216,4.8109,0.2107,5.6559,5.6559,5.416,5.8958
4683,1,0.4984,0.4675,0.0309,5.5501,5.5501,5.5501,5.5501
4713,1,0.8524,0.838,0.0143,5.3682,5.3682,5.3682,5.3682
4739,1,0.3646,0.3496,0.015,5.337,5.337,5.337,5.337
4747,1,0.2013,0.1721,0.0292,7.6671,7.6671,7.6671,7.6671
4749,1,1.9499,1.8722,0.0776,6.0555,6.0555,6.0555,6.0555
4750,1,21.2557,20.4502,0.8055,5.898,5.898,5.898,5.898
4751,1,0.2085,0.1949,0.0135,5.3625,5.3625,5.3625,5.3625
4752,1,0.3456,0.3248,0.0208,5.4962,5.4962,5.4962,5.4962
4753,7,5.4479,5.2912,0.1567,5.528,5.417,5.3502,5.8845
4754,1,1.6233,1.5913,0.032,5.7608,5.7608,5.7608,5.7608
4755,1,5.5195,5.3821,0.1374,5.5184,5.5184,5.5184,5.5184
4799,1,0.3921,0.3621,0.0299,5.557,5.557,5.557,5.557
4810,2,0.503,0.4711,0.0319,5.3408,5.3408,5.3359,5.3458
4832,1,2.1237,2.0996,0.0241,5.7707,5.7707,5.7707,5.7707
4911,1,9.7866,9.6605,0.126,6.239,6.239,6.239,6.239
4913,7,47.6017,46.162,1.4397,5.6685,5.4512,5.3253,6.1369
4937,545,431.1607,417.339,13.8218,5.3731,5.3434,5.3054,6.4053
4938,104,172.2799,168.1765,4.1034,5.4779,5.3855,5.3178,6.2653
4942,2,7.1379,7.0178,0.1201,5.8876,5.8876,5.5735,6.2017
4988,21,100.069,97.3042,2.7648,5.6144,5.4227,5.331,6.3234
4989,406,397.2147,385.1102,12.1045,5.419,5.3428,5.3017,7.2365
5027,5,2.0691,1.9671,0.102,5.4169,5.3536,5.3378,5.5983
5028,8,7.9578,7.7231,0.2346,5.5255,5.4077,5.3287,5.961
5030,1,0.7944,0.7619,0.0325,5.5827,5.5827,5.5827,5.5827
5032,1,0.8014,0.7729,0.0285,5.6839,5.6839,5.6839,5.6839
5033,1,0.3202,0.304,0.0163,5.327,5.327,5.327,5.327
5035,9,16.488,15.8194,0.6686,5.5186,5.3733,5.3321,6.1261
5036,1,30.2892,29.7086,0.5806,5.8756,5.8756,5.8756,5.8756
5046,372,405.283,393.3963,11.8867,5.3972,5.3444,2.8751,6.65
5047,5,1.6813,1.5765,0.1048,5.4892,5.4737,5.3926,5.5978
5073,19,10.9552,10.5049,0.4503,5.5106,5.4034,5.3201,6.0371
5083,1,0.3358,0.3196,0.0161,5.3458,5.3458,5.3458,5.3458
5096,2,0.7014,0.6553,0.0461,5.3905,5.3905,5.3518,5.4291
5114,1,0.2609,0.2455,0.0154,5.4248,5.4248,5.4248,5.4248
5119,5,23.6292,22.831,0.7982,5.5251,5.4326,5.3789,5.9701
5156,4,1.912,1.814,0.098,5.4013,5.3937,5.3792,5.4386
5157,2,1.3441,1.2994,0.0447,5.544,5.544,5.4184,5.6696
5158,1,1.0986,1.0479,0.0507,7.1098,7.1098,7.1098,7.1098
5159,8,5.1083,4.9067,0.2016,5.4571,5.4077,5.334,5.8941
5211,1,5.5059,5.4374,0.0686,6.1911,6.1911,6.1911,6.1911
5212,25,62.7835,61.7493,1.0342,5.6715,5.6602,5.3312,6.3467
5234,1,1.4596,1.4328,0.0268,5.3774,5.3774,5.3774,5.3774
5241,1,0.5701,0.5538,0.0163,5.3408,5.3408,5.3408,5.3408
5244,1,0.5715,0.554,0.0175,5.367,5.367,5.367,5.367
5246,1,8.9811,8.7878,0.1933,5.6036,5.6036,5.6036,5.6036
5252,1,1.4002,1.3806,0.0196,5.8355,5.8355,5.8355,5.8355
5253,1,0.3786,0.3607,0.0179,5.3771,5.3771,5.3771,5.3771
5254,1,2.1312,2.0991,0.0321,5.8636,5.8636,5.8636,5.8636
5328,1,0.3913,0.3715,0.0197,5.3726,5.3726,5.3726,5.3726
5377,3,3.3982,3.201,0.1972,5.7863,5.8649,5.3913,6.1029
5378,6,20.0918,19.7253,0.3665,5.7914,5.7105,5.3413,6.4541
5420,1,8.5016,8.2482,0.2533,5.6404,5.6404,5.6404,5.6404
5470,1,0.2442,0.2283,0.0159,5.4546,5.4546,5.4546,5.4546
5471,1,0.2571,0.2402,0.0169,5.3493,5.3493,5.3493,5.3493
5481,1,11.9927,11.847,0.1457,6.3233,6.3233,6.3233,6.3233
5482,1,0.8494,0.8334,0.016,5.3864,5.3864,5.3864,5.3864
5494,1,1.7548,1.7398,0.015,5.8096,5.8096,5.8096,5.8096
5501,6,3.9214,3.8156,0.1058,5.3712,5.3761,5.336,5.4007
5508,1,0.7163,0.6965,0.0199,5.4442,5.4442,5.4442,5.4442
5520,1,0.6542,0.6337,0.0205,5.3631,5.3631,5.3631,5.3631
5521,1,51.2373,50.0233,1.214,5.9594,5.9594,5.9594,5.9594
5522,1,3.3423,3.3235,0.0188,5.5074,5.5074,5.5074,5.5074
5523,1,10.8009,10.6574,0.1434,6.4331,6.4331,6.4331,6.4331
5525,1,42.9075,39.6006,3.3068,6.6566,6.6566,6.6566,6.6566
5621,25,42.1529,40.8462,1.3067,5.6615,5.4183,5.337,6.3545
5622,10,9.6911,9.3661,0.3251,5.6682,5.5211,5.3351,6.6503
5635,8,13.1814,12.8926,0.2888,5.4872,5.3646,5.3257,5.7908
5636,15,54.332,53.0231,1.3088,5.6637,5.7252,5.3214,6.1872
5673,3,5.4856,5.2817,0.2038,5.8061,5.5429,5.4235,6.452
5688,13,15.0965,14.7417,0.3548,5.4856,5.3791,5.3318,5.9211
5701,6,9.1858,9.0371,0.1486,5.4663,5.4198,5.332,5.7289
5729,1,1.3694,1.3464,0.023,5.4381,5.4381,5.4381,5.4381
5749,2,1.2299,1.1962,0.0337,5.4404,5.4404,5.3947,5.4861
5793,1,2.1329,2.0858,0.0471,5.4628,5.4628,5.4628,5.4628
5798,17,29.7179,29.0438,0.6741,5.6088,5.4979,5.3337,6.3201
5799,1,0.662,0.6391,0.0228,5.4838,5.4838,5.4838,5.4838
5811,1,0.4597,0.434,0.0257,5.7691,5.7691,5.7691,5.7691
5812,2,0.557,0.5218,0.0352,5.4538,5.4538,5.361,5.5467
5821,2,0.3894,0.3654,0.024,5.4081,5.4081,5.3934,5.4229
5840,1,7.5984,7.2894,0.309,5.6815,5.6815,5.6815,5.6815
5855,7,6.9638,6.8232,0.1406,5.5389,5.458,5.34,5.9257
5865,4,5.1769,5.0555,0.1214,5.6191,5.4972,5.3367,6.1453
5866,1,0.6693,0.6476,0.0217,5.4225,5.4225,5.4225,5.4225
5880,7,30.3887,29.9951,0.3937,5.7388,5.6446,5.3452,6.2928
5881,1,1.0813,1.0609,0.0204,5.7975,5.7975,5.7975,5.7975
5884,1,33.3658,30.2259,3.1399,6.5254,6.5254,6.5254,6.5254
5891,2,2.3581,2.3094,0.0488,5.481,5.481,5.3808,5.5812
5896,1,0.5188,0.4948,0.024,5.3513,5.3513,5.3513,5.3513
5897,1,0.6762,0.6483,0.0279,5.6002,5.6002,5.6002,5.6002
5898,1,23.1318,22.5424,0.5894,5.7676,5.7676,5.7676,5.7676
5899,59,133.8141,130.9585,2.8556,5.4309,5.3845,5.3249,5.8636
5900,1,0.5834,0.5625,0.021,5.4551,5.4551,5.4551,5.4551
5901,1,0.3503,0.3302,0.0201,5.3334,5.3334,5.3334,5.3334
5902,1,0.4339,0.4087,0.0252,5.6484,5.6484,5.6484,5.6484
5903,1,0.3035,0.2836,0.0199,5.4231,5.4231,5.4231,5.4231
5904,1,0.3487,0.3267,0.022,5.5697,5.5697,5.5697,5.5697
5905,1,1.8857,1.8685,0.0171,5.4808,5.4808,5.4808,5.4808
5933,3,4.5093,4.3254,0.1839,5.912,5.9574,5.5274,6.2512
5947,2,0.4224,0.4038,0.0185,5.3562,5.3562,5.3495,5.3629
5948,3,1.1969,1.13,0.0669,5.4597,5.3657,5.3381,5.6752
5970,2,1.1322,1.0872,0.045,5.4829,5.4829,5.368,5.5977
5980,4,22.8435,22.3169,0.5266,5.6301,5.5057,5.345,6.1642
6011,1,1.1938,1.1625,0.0314,5.5122,5.5122,5.5122,5.5122
6071,1,1.1877,1.1567,0.031,5.4193,5.4193,5.4193,5.4193
6077,1,13.3036,12.8405,0.4631,5.6236,5.6236,5.6236,5.6236
6090,8,8.4162,8.2366,0.1796,5.5506,5.4627,5.3572,6.0871
6093,1,3.8645,3.7998,0.0647,5.8691,5.8691,5.8691,5.8691
6095,1,0.9877,0.9609,0.0267,5.4506,5.4506,5.4506,5.4506
6096,1,0.5465,0.5271,0.0194,5.4288,5.4288,5.4288,5.4288
6100,1,0.9016,0.872,0.0296,5.7315,5.7315,5.7315,5.7315
6101,15,48.5287,47.694,0.8347,5.8843,5.8839,5.3444,6.4241
6106,1,0.6755,0.6511,0.0244,5.6988,5.6988,5.6988,5.6988
6114,276,334.0055,326.2883,7.7172,5.4278,5.3554,5.304,6.2155
6124,1,0.6087,0.5951,0.0136,5.3363,5.3363,5.3363,5.3363
6128,1,1.1028,0.9645,0.1382,6.1488,6.1488,6.1488,6.1488
6129,1,0.8808,0.8559,0.0249,5.5607,5.5607,5.5607,5.5607
6130,1,26.6476,25.3323,1.3153,6.6463,6.6463,6.6463,6.6463
6131,1,10.0545,9.6224,0.4322,6.4473,6.4473,6.4473,6.4473
6132,1,0.6135,0.5927,0.0209,5.521,5.521,5.521,5.521
6187,5,2.621,2.5275,0.0935,5.4132,5.3541,5.3397,5.5681
6209,4,3.1889,3.0965,0.0924,5.4796,5.461,5.3548,5.6415
6210,1,0.5328,0.511,0.0218,5.4199,5.4199,5.4199,5.4199
6233,1,7.8925,7.6777,0.2148,6.2192,6.2192,6.2192,6.2192
6301,1,0.8918,0.8645,0.0273,5.6273,5.6273,5.6273,5.6273
6307,1,0.4317,0.4147,0.0171,5.352,5.352,5.352,5.352
6308,1,2.076,2.0406,0.0354,6.2598,6.2598,6.2598,6.2598
6309,1,1.1116,1.0836,0.028,5.5431,5.5431,5.5431,5.5431
6310,1,0.7188,0.6949,0.0239,5.4033,5.4033,5.4033,5.4033
6320,1,0.3982,0.3802,0.018,5.4019,5.4019,5.4019,5.4019
6321,1,1.4697,1.439,0.0307,5.7503,5.7503,5.7503,5.7503
6327,1,21.4831,20.7891,0.694,6.3715,6.3715,6.3715,6.3715
6331,1,17.6487,17.094,0.5546,5.6274,5.6274,5.6274,5.6274
6350,1,1.133,1.1079,0.0252,5.4233,5.4233,5.4233,5.4233
6467,2,1.5411,1.4993,0.0418,5.3933,5.3933,5.3896,5.397
6468,20,28.7232,28.1383,0.5849,5.4909,5.4219,5.3325,5.9959
6475,3,1.3009,1.2381,0.0628,5.3996,5.4267,5.3403,5.4317
6483,4,1.3845,1.3146,0.0699,5.337,5.3366,5.3327,5.3421
6516,1,3.1529,3.1076,0.0453,5.941,5.941,5.941,5.941
6517,1,0.5467,0.5224,0.0242,5.6744,5.6744,5.6744,5.6744
6526,5,12.2411,11.904,0.3371,5.6639,5.4802,5.336,6.076
6527,3,0.989,0.9391,0.05,5.3576,5.3608,5.3212,5.3907
6536,1,0.5082,0.4835,0.0247,5.4862,5.4862,5.4862,5.4862
6546,1,0.6657,0.6414,0.0243,5.4236,5.4236,5.4236,5.4236
6547,23,37.5858,36.5578,1.028,5.4422,5.3566,5.3297,6.2216
6548,1,0.7059,0.6842,0.0217,5.5873,5.5873,5.5873,5.5873
6549,1,3.0745,3.0336,0.0409,5.3853,5.3853,5.3853,5.3853
6585,1,0.4734,0.4558,0.0176,5.3356,5.3356,5.3356,5.3356
6587,1,6.8553,6.7515,0.1038,6.1791,6.1791,6.1791,6.1791
6588,1,16.9421,16.4308,0.5113,5.6139,5.6139,5.6139,5.6139
6590,1,1.2894,1.2636,0.0258,5.5825,5.5825,5.5825,5.5825
6591,1,17.0851,16.4088,0.6763,6.1522,6.1522,6.1522,6.1522
6592,1,9.6648,9.5221,0.1427,6.2717,6.2717,6.2717,6.2717
6655,3,5.9781,5.9091,0.069,5.6427,5.6245,5.6039,5.6996
6704,1,21.9594,21.3946,0.5649,5.6492,5.6492,5.6492,5.6492
6715,2,1.1134,1.0797,0.0336,5.3383,5.3383,5.3325,5.3441
6783,1,0.4993,0.4826,0.0167,5.3304,5.3304,5.3304,5.3304
6849,1,1.5886,1.5613,0.0273,5.532,5.532,5.532,5.532
6853,1,3.0709,3.0275,0.0434,5.6154,5.6154,5.6154,5.6154
6863,1,4.8227,4.7708,0.0519,5.9774,5.9774,5.9774,5.9774
6864,1,0.7761,0.7567,0.0194,5.3986,5.3986,5.3986,5.3986
6877,1,9.0219,8.8197,0.2022,6.2952,6.2952,6.2952,6.2952
6879,1,0.9897,0.9671,0.0226,5.4374,5.4374,5.4374,5.4374
6880,1,3.3178,3.2807,0.0371,5.402,5.402,5.402,5.402
6881,1,0.4227,0.4078,0.0148,5.3412,5.3412,5.3412,5.3412
6882,1,22.1614,21.5383,0.623,6.2798,6.2798,6.2798,6.2798
6883,1,0.9037,0.8789,0.0249,6.0408,6.0408,6.0408,6.0408
6887,1,1.2844,1.2602,0.0242,5.3947,5.3947,5.3947,5.3947
6906,3,5.3448,5.2789,0.0659,5.7446,5.7232,5.3159,6.1945
6944,3,16.4461,16.1487,0.2974,5.9743,5.9759,5.9378,6.0091
6984,2,17.0832,16.5161,0.5671,5.7869,5.7869,5.3976,6.1763
6985,1,0.5706,0.5486,0.022,5.4001,5.4001,5.4001,5.4001
6999,1,24.6061,23.9515,0.6546,5.7951,5.7951,5.7951,5.7951
7073,8,22.6536,22.1947,0.4589,5.7217,5.6804,5.3619,6.1898
7074,1,3.6853,3.647,0.0383,5.4115,5.4115,5.4115,5.4115
7136,5,33.6576,33.0627,0.5949,5.7037,5.8101,5.3883,6.011
7137,6,12.5919,12.4193,0.1725,5.4981,5.4154,5.3393,5.7247
7156,1,10.3467,9.8313,0.5155,6.4616,6.4616,6.4616,6.4616
7175,3,6.5854,6.4826,0.1028,5.6513,5.7295,5.4303,5.7941
