variant,n_features,n_params,testset_rmse_log,testset_mape,testset_max_ape,testset_mape_langlois2016,testset_mape_lbm,inference_forward_mean_ms,inference_forward_std_ms,inference_forward_median_ms,inference_per_sample_us,inference_throughput_samples_per_s,inference_batch_size,inference_device,inference_warmup,inference_repeats,curated_overall_mape,curated_overall_max_ape,curated_overall_rmse_log,curated_bin0_mape,curated_bin1_mape,curated_bin2_mape,curated_bin3_mape,curated_bin4_mape,curated_bin5_mape,curated_bin6_mape,curated_bin7_mape,curated_bin8_mape,curated_bin9_mape
h16_h8,8,641,0.0029328788714195276,0.1586289680972853,4.66023242755196,0.12305775096302626,0.20967597450430864,0.20292202691237132,0.09295650555909918,0.17457599937915802,2.0292202691237136,492800.12387804216,100,cuda,30,150,0.32426256207399207,1.819758526027108,0.005450406318639749,0.08881113396005319,0.09625670037799612,0.09976413257816896,0.19968516176896517,0.6274753752572494,0.26441893342185935,0.27805639992063214,0.24863107403407253,0.6348803574014981,0.7046463520194258
h32_h16,8,2049,0.0026368630384150243,0.10497255091174033,3.780070998283522,0.06735244369619517,0.15895984763019594,0.2414933329820633,0.05415213711386918,0.22457600384950638,2.414933329820633,414090.10660939204,100,cuda,30,150,0.2699910994106638,3.6810880418202845,0.0056865561331533995,0.012594120661917013,0.0559077289577079,0.05599884135862802,0.0833694827294972,0.3452295422608662,0.3941598290756579,0.2837533904289621,0.14148740765888917,0.42594269896899295,0.9014679520055191
h64_h32,8,7169,0.002336955321729118,0.08941765913381422,3.8659526982941403,0.056018612649807925,0.13734745960765227,0.24239317307869593,0.0716664241206315,0.22643199563026428,2.4239317307869594,412552.87320956757,100,cuda,30,150,0.23460624541158784,3.8659567481105426,0.005267630037280969,0.009299067732448481,0.06849256735608218,0.04491571383432094,0.12646140998878355,0.27187856702495844,0.35439834182501656,0.3708409445224775,0.1362875901472364,0.17993683253361864,0.7835514191509356
h128_h64,8,26625,0.0022271885570674583,0.09355888300919295,3.518169213075096,0.06888993823210547,0.12896042064388327,0.24161578665177028,0.07890048715826332,0.22336000204086304,2.4161578665177026,413880.24096341606,100,cuda,30,150,0.22640066910608603,2.3844699541860566,0.004301066016050405,0.06780396953788982,0.0856100830395076,0.04507326952671971,0.07571730614644614,0.19725089511135063,0.2654390830441835,0.29430030349991365,0.0921620541245167,0.39501949927405466,0.745630227756277
h256_h128,8,102401,0.0019276022037700421,0.07314401521828191,3.114607854755238,0.04679527508056873,0.11095616827308227,0.2566794671614965,0.08354005829608707,0.22673599421977997,2.5667946716149648,389590.9599075271,100,cuda,30,150,0.18803412088057822,3.114611875275994,0.004239195075327141,0.02548171214075733,0.06477151957198708,0.026035154252152942,0.11517541277806036,0.22577405814427093,0.2828388569592203,0.21363459998675624,0.10650046076371504,0.20069689102148,0.6194325431873816
